,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1002.8,1012.6,1004.2,2014-11-01,1000.4,2014-11-01,25.5,30.3,2014-11-01,22.3,2014-11-01,21.0,77.0,53.0,2014-11-01,0.8,350.0,6.2,350.0,2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3.3,29.6,10.68,8.1,2.8
2,2.0,1003.6,1013.5,1005.5,2014-11-02,1001.6,2014-11-02,24.5,29.1,2014-11-02,21.3,2014-11-02,19.4,74.0,60.0,2014-11-02,2.4,360.0,12.6,350.0,2014-11-02,0.0,0.0,0.0,0.0,0.0,0.0,9.3,83.6,15.32,9.5,4.8
3,3.0,1004.8,1014.8,1006.5,2014-11-03,1002.9,2014-11-03,22.5,27.0,2014-11-03,20.1,2014-11-03,13.7,58.0,46.0,2014-11-03,2.9,360.0,10.1,10.0,2014-11-03,0.0,0.0,0.0,0.0,0.0,0.0,3.6,32.4,11.78,10.3,3.6
4,4.0,1006.2,1016.2,1008.0,2014-11-04,1004.6,2014-11-04,22.7,27.9,2014-11-04,20.1,2014-11-04,14.5,60.0,49.0,2014-11-04,1.1,320.0,6.9,20.0,2014-11-04,0.0,0.0,0.0,0.0,0.0,0.0,5.6,50.5,12.66,12.0,3.4
5,5.0,1007.0,1017.0,1008.8,2014-11-05,1004.9,2014-11-05,23.4,28.4,2014-11-05,19.5,2014-11-05,16.6,67.0,48.0,2014-11-05,0.8,330.0,5.8,320.0,2014-11-05,0.0,0.0,0.0,0.0,0.0,0.0,8.2,74.1,13.4,11.0,2.8
6,6.0,1006.6,1016.6,1008.5,2014-11-06,1004.5,2014-11-06,23.9,30.1,2014-11-06,20.6,2014-11-06,16.2,63.0,39.0,2014-11-06,1.8,340.0,11.6,360.0,2014-11-06,0.0,0.0,0.0,0.0,0.0,0.0,9.7,87.8,15.45,11.5,4.2
7,7.0,1006.9,1016.8,1008.7,2014-11-07,1004.8,2014-11-07,24.2,30.0,2014-11-07,20.0,2014-11-07,16.7,64.0,44.0,2014-11-07,0.9,120.0,5.9,250.0,2014-11-07,0.0,0.0,0.0,0.0,0.0,0.0,8.8,79.8,13.94,11.8,3.7
8,8.0,1007.2,1017.1,1008.6,2014-11-08,1005.9,2014-11-08,24.2,29.2,2014-11-08,21.2,2014-11-08,18.6,71.0,52.0,2014-11-08,1.3,330.0,7.9,350.0,2014-11-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3,11.8,7.94,9.0,1.6
9,9.0,1007.5,1017.5,1010.6,2014-11-09,1005.5,2014-11-09,23.0,26.4,2014-11-09,19.8,2014-11-09,18.6,77.0,63.0,2014-11-09,2.2,360.0,10.0,360.0,2014-11-09,0.0,0.0,0.0,0.0,0.0,0.0,3.9,35.5,8.2,12.5,2.3
10,10.0,1006.2,1016.1,1008.5,2014-11-10,1004.0,2014-11-10,23.3,29.9,2014-11-10,18.9,2014-11-10,17.2,70.0,49.0,2014-11-10,1.0,320.0,7.8,320.0,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0,7.1,64.7,12.54,11.8,3.6
11,11.0,1005.7,1015.6,1007.4,2014-11-11,1003.6,2014-11-11,23.4,29.0,2014-11-11,19.6,2014-11-11,17.5,70.0,53.0,2014-11-11,0.9,330.0,8.0,350.0,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0,7.8,71.2,13.09,11.1,3.9
12,12.0,1006.6,1016.5,1007.7,2014-11-12,1004.9,2014-11-12,22.4,25.9,2014-11-12,20.4,2014-11-12,16.9,71.0,60.0,2014-11-12,1.7,340.0,7.8,360.0,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,10.3,1.9
13,13.0,1007.9,1018.0,1009.6,2014-11-13,1006.2,2014-11-13,21.1,25.1,2014-11-13,18.8,2014-11-13,15.4,70.0,57.0,2014-11-13,1.7,340.0,6.9,340.0,2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0,2.1,19.2,8.1,10.0,0.9
14,14.0,1008.4,1018.5,1010.0,2014-11-14,1007.3,2014-11-14,21.0,25.3,2014-11-14,18.3,2014-11-14,16.1,74.0,57.0,2014-11-14,1.1,330.0,5.3,350.0,2014-11-14,0.0,1.6,0.0,2014-11-14 00:00:00,0.0,2014-11-14 00:00:00,1.8,16.5,7.82,11.3,-1.5
15,15.0,1008.6,1018.6,1010.4,2014-11-15,1006.9,2014-11-15,22.0,25.2,2014-11-15,18.6,2014-11-15,17.8,78.0,62.0,2014-11-15,0.7,50.0,4.7,350.0,2014-11-15,0.8,6.0,0.1,2014-11-15 00:00:00,0.1,2014-11-15 00:00:00,0.4,3.7,4.83,9.8,-3.0
16,16.0,1006.2,1016.1,1008.7,2014-11-16,1003.6,2014-11-16,23.3,29.0,2014-11-16,19.4,2014-11-16,18.1,73.0,51.0,2014-11-16,2.4,360.0,10.6,360.0,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0,4.5,41.4,11.54,10.9,3.9
17,17.0,1005.7,1015.6,1008.0,2014-11-17,1004.0,2014-11-17,21.8,24.3,2014-11-17,18.2,2014-11-17,16.9,74.0,66.0,2014-11-17,2.8,360.0,11.1,350.0,2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,12.4,2.0
18,18.0,1008.1,1018.2,1009.7,2014-11-18,1006.8,2014-11-18,21.1,26.4,2014-11-18,18.4,2014-11-18,13.7,63.0,46.0,2014-11-18,2.2,360.0,9.5,30.0,2014-11-18,0.0,0.0,0.0,0.0,0.0,0.0,6.0,55.3,12.47,10.0,2.3
19,19.0,1008.5,1018.6,1010.3,2014-11-19,1006.3,2014-11-19,21.7,27.6,2014-11-19,17.9,2014-11-19,15.1,67.0,51.0,2014-11-19,1.0,320.0,6.8,330.0,2014-11-19,0.0,0.0,0.0,0.0,0.0,0.0,6.4,59.1,11.82,11.3,3.3
20,20.0,1007.3,1017.3,1008.9,2014-11-20,1005.2,2014-11-20,21.6,27.8,2014-11-20,16.7,2014-11-20,16.4,74.0,49.0,2014-11-20,0.8,320.0,5.7,360.0,2014-11-20,0.0,0.0,0.0,0.0,0.0,0.0,9.7,89.6,14.53,10.3,3.0
21,21.0,1006.6,1016.5,1008.9,2014-11-21,1004.2,2014-11-21,22.3,28.3,2014-11-21,17.5,2014-11-21,17.2,75.0,48.0,2014-11-21,1.2,350.0,7.4,20.0,2014-11-21,0.0,0.0,0.0,0.0,0.0,0.0,9.7,89.8,14.1,9.8,3.5
22,22.0,1005.0,1015.0,1006.9,2014-11-22,1002.3,2014-11-22,22.8,30.9,2014-11-22,17.2,2014-11-22,17.1,72.0,39.0,2014-11-22,0.8,320.0,6.0,300.0,2014-11-22,0.0,0.0,0.0,0.0,0.0,0.0,9.6,88.9,14.56,11.5,1.2
