,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,978.9,0.0,981.3,2015-04-01,976.5,2015-04-01,23.7,33.5,2015-04-01,19.0,2015-04-01,0.0,88.0,38.0,2015-04-01,0.5,10.0,8.2,3.0,2015-04-01,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,975.2,0.0,977.7,2015-04-02,973.2,2015-04-02,23.4,30.4,2015-04-02,19.6,2015-04-02,0.0,89.0,60.0,2015-04-02,0.5,12.0,4.9,15.0,2015-04-02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,974.7,0.0,977.0,2015-04-03,972.4,2015-04-03,23.9,32.2,2015-04-03,19.0,2015-04-03,0.0,86.0,50.0,2015-04-03,0.7,81.0,6.6,96.0,2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,977.4,0.0,980.2,2015-04-04,975.0,2015-04-04,23.5,30.7,2015-04-04,19.9,2015-04-04,0.0,89.0,62.0,2015-04-04,0.4,20.0,4.1,145.0,2015-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,978.4,0.0,979.9,2015-04-05,976.6,2015-04-05,24.7,33.8,2015-04-05,19.4,2015-04-05,0.0,85.0,45.0,2015-04-05,0.7,5.0,6.0,62.0,2015-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,978.9,0.0,981.8,2015-04-06,977.0,2015-04-06,24.8,32.9,2015-04-06,20.0,2015-04-06,0.0,85.0,48.0,2015-04-06,1.1,16.0,8.2,90.0,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,983.9,0.0,988.2,2015-04-07,980.8,2015-04-07,16.4,20.2,2015-04-07,12.7,2015-04-07,0.0,97.0,90.0,2015-04-07,2.3,56.0,8.2,73.0,2015-04-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,987.0,0.0,988.2,2015-04-08,985.4,2015-04-08,12.7,13.8,2015-04-08,12.1,2015-04-08,0.0,99.0,98.0,2015-04-08,1.3,58.0,7.1,34.0,2015-04-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,984.6,0.0,986.8,2015-04-09,982.7,2015-04-09,15.1,17.3,2015-04-09,12.6,2015-04-09,0.0,98.0,93.0,2015-04-09,1.9,59.0,7.7,43.0,2015-04-09,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,984.5,0.0,986.9,2015-04-10,982.5,2015-04-10,15.2,16.8,2015-04-10,13.0,2015-04-10,0.0,99.0,97.0,2015-04-10,2.0,74.0,7.7,20.0,2015-04-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,985.6,0.0,987.0,2015-04-11,983.7,2015-04-11,14.3,15.0,2015-04-11,13.1,2015-04-11,0.0,99.0,97.0,2015-04-11,1.5,55.0,6.0,54.0,2015-04-11,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,983.7,0.0,985.5,2015-04-12,982.0,2015-04-12,16.0,18.1,2015-04-12,14.2,2015-04-12,0.0,98.0,92.0,2015-04-12,0.1,2.0,5.5,345.0,2015-04-12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,983.6,0.0,985.9,2015-04-13,980.9,2015-04-13,14.8,19.7,2015-04-13,10.5,2015-04-13,0.0,85.0,55.0,2015-04-13,1.2,44.0,7.7,1.0,2015-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,982.6,0.0,984.1,2015-04-14,980.4,2015-04-14,14.7,22.7,2015-04-14,8.8,2015-04-14,0.0,72.0,27.0,2015-04-14,1.2,10.0,9.9,273.0,2015-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,982.0,0.0,984.1,2015-04-15,980.2,2015-04-15,16.3,26.6,2015-04-15,7.7,2015-04-15,0.0,75.0,31.0,2015-04-15,0.7,332.0,6.0,334.0,2015-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,980.9,0.0,982.7,2015-04-16,978.8,2015-04-16,19.8,30.0,2015-04-16,11.9,2015-04-16,0.0,80.0,40.0,2015-04-16,0.9,24.0,7.1,353.0,2015-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,979.9,0.0,981.5,2015-04-17,978.0,2015-04-17,21.1,30.3,2015-04-17,16.1,2015-04-17,0.0,90.0,57.0,2015-04-17,0.6,343.0,7.1,351.0,2015-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,977.5,0.0,979.7,2015-04-18,975.0,2015-04-18,22.9,29.6,2015-04-18,19.5,2015-04-18,0.0,92.0,61.0,2015-04-18,0.2,13.0,4.9,134.0,2015-04-18,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
