,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1006.9,0.0,1008.3,2013-10-01,1005.4,2013-10-01,25.9,29.8,2013-10-01,24.0,2013-10-01,0.0,87.0,71.0,2013-10-01,1.5,97.0,7.4,96.0,2013-10-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1007.5,0.0,1009.9,2013-10-02,1006.0,2013-10-02,25.3,28.7,2013-10-02,21.5,2013-10-02,0.0,75.0,47.0,2013-10-02,0.9,73.0,8.0,54.0,2013-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1007.9,0.0,1009.2,2013-10-03,1006.9,2013-10-03,22.3,25.1,2013-10-03,20.3,2013-10-03,0.0,84.0,65.0,2013-10-03,0.6,88.0,8.2,78.0,2013-10-03,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1006.2,0.0,1008.1,2013-10-04,1004.5,2013-10-04,23.2,27.8,2013-10-04,20.8,2013-10-04,0.0,83.0,60.0,2013-10-04,0.5,90.0,7.4,45.0,2013-10-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1002.7,0.0,1004.8,2013-10-05,1000.3,2013-10-05,23.8,25.6,2013-10-05,21.9,2013-10-05,0.0,96.0,84.0,2013-10-05,1.0,353.0,10.2,27.0,2013-10-05,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,996.6,0.0,1000.4,2013-10-06,994.0,2013-10-06,25.1,27.7,2013-10-06,23.7,2013-10-06,0.0,92.0,66.0,2013-10-06,2.4,230.0,12.1,212.0,2013-10-06,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,997.4,0.0,1000.0,2013-10-07,994.2,2013-10-07,25.9,33.0,2013-10-07,22.7,2013-10-07,0.0,87.0,58.0,2013-10-07,0.7,76.0,5.7,70.0,2013-10-07,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1002.0,0.0,1004.8,2013-10-08,998.9,2013-10-08,27.0,31.7,2013-10-08,23.0,2013-10-08,0.0,84.0,60.0,2013-10-08,0.7,94.0,5.5,318.0,2013-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1006.3,0.0,1008.0,2013-10-09,1003.8,2013-10-09,25.6,27.2,2013-10-09,24.4,2013-10-09,0.0,90.0,84.0,2013-10-09,1.2,96.0,6.3,100.0,2013-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1006.7,0.0,1008.8,2013-10-10,1004.8,2013-10-10,26.8,31.8,2013-10-10,22.5,2013-10-10,0.0,83.0,62.0,2013-10-10,1.8,70.0,8.5,79.0,2013-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
