,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1016.8,0.0,1020.7,2014-12-01 00:00:00,1011.7,2014-12-01 00:00:00,17.7,22.3,2014-12-01 00:00:00,14.6,2014-12-01 00:00:00,0.0,74.0,59.0,2014-12-01 00:00:00,2.3,59.0,10.4,54.0,2014-12-01 00:00:00,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1018.9,0.0,1021.4,2014-12-02 00:00:00,1016.9,2014-12-02 00:00:00,16.1,17.9,2014-12-02 00:00:00,14.0,2014-12-02 00:00:00,0.0,68.0,60.0,2014-12-02 00:00:00,2.4,68.0,9.3,24.0,2014-12-02 00:00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1014.2,0.0,1017.3,2014-12-03 00:00:00,1011.2,2014-12-03 00:00:00,21.2,25.4,2014-12-03 00:00:00,17.5,2014-12-03 00:00:00,0.0,66.0,49.0,2014-12-03 00:00:00,1.0,62.0,8.8,93.0,2014-12-03 00:00:00,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1020.2,0.0,1022.7,2014-12-04 00:00:00,1013.3,2014-12-04 00:00:00,14.4,19.8,2014-12-04 00:00:00,12.2,2014-12-04 00:00:00,0.0,76.0,56.0,2014-12-04 00:00:00,2.0,64.0,12.6,11.0,2014-12-04 00:00:00,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1021.4,0.0,1022.9,2014-12-05 00:00:00,1019.1,2014-12-05 00:00:00,14.6,16.8,2014-12-05 00:00:00,13.5,2014-12-05 00:00:00,0.0,54.0,45.0,2014-12-05 00:00:00,2.3,57.0,9.9,50.0,2014-12-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1019.3,0.0,1021.7,2014-12-06 00:00:00,1016.9,2014-12-06 00:00:00,16.3,18.8,2014-12-06 00:00:00,13.8,2014-12-06 00:00:00,0.0,55.0,42.0,2014-12-06 00:00:00,2.8,62.0,12.6,85.0,2014-12-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1016.3,0.0,1018.5,2014-12-07 00:00:00,1013.4,2014-12-07 00:00:00,20.2,24.7,2014-12-07 00:00:00,16.9,2014-12-07 00:00:00,0.0,57.0,40.0,2014-12-07 00:00:00,1.9,54.0,8.8,93.0,2014-12-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1019.1,0.0,1021.1,2014-12-08 00:00:00,1016.4,2014-12-08 00:00:00,17.4,19.6,2014-12-08 00:00:00,16.1,2014-12-08 00:00:00,0.0,79.0,69.0,2014-12-08 00:00:00,1.9,58.0,9.3,91.0,2014-12-08 00:00:00,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1019.3,0.0,1021.7,2014-12-09 00:00:00,1017.0,2014-12-09 00:00:00,18.6,20.7,2014-12-09 00:00:00,17.2,2014-12-09 00:00:00,0.0,79.0,66.0,2014-12-09 00:00:00,2.2,74.0,16.5,83.0,2014-12-09 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1015.5,0.0,1017.7,2014-12-10 00:00:00,1012.6,2014-12-10 00:00:00,20.6,24.3,2014-12-10 00:00:00,18.9,2014-12-10 00:00:00,0.0,84.0,70.0,2014-12-10 00:00:00,0.9,327.0,6.6,45.0,2014-12-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1018.1,0.0,1020.8,2014-12-11 00:00:00,1015.7,2014-12-11 00:00:00,17.4,20.1,2014-12-11 00:00:00,14.5,2014-12-11 00:00:00,0.0,81.0,73.0,2014-12-11 00:00:00,1.0,4.0,7.1,61.0,2014-12-11 00:00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1022.7,0.0,1025.1,2014-12-12 00:00:00,1019.7,2014-12-12 00:00:00,13.5,15.0,2014-12-12 00:00:00,12.2,2014-12-12 00:00:00,0.0,75.0,56.0,2014-12-12 00:00:00,1.3,2.0,7.7,4.0,2014-12-12 00:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1024.0,0.0,1026.1,2014-12-13 00:00:00,1022.2,2014-12-13 00:00:00,14.1,15.1,2014-12-13 00:00:00,13.4,2014-12-13 00:00:00,0.0,55.0,48.0,2014-12-13 00:00:00,2.5,59.0,10.4,50.0,2014-12-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1020.6,0.0,1023.8,2014-12-14 00:00:00,1017.7,2014-12-14 00:00:00,16.6,18.3,2014-12-14 00:00:00,14.4,2014-12-14 00:00:00,0.0,65.0,56.0,2014-12-14 00:00:00,1.8,75.0,8.2,59.0,2014-12-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1017.8,0.0,1019.5,2014-12-15 00:00:00,1015.6,2014-12-15 00:00:00,18.3,22.1,2014-12-15 00:00:00,16.1,2014-12-15 00:00:00,0.0,78.0,61.0,2014-12-15 00:00:00,0.6,26.0,5.5,314.0,2014-12-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,1023.1,0.0,1026.2,2014-12-16 00:00:00,1018.8,2014-12-16 00:00:00,14.4,18.1,2014-12-16 00:00:00,12.3,2014-12-16 00:00:00,0.0,61.0,48.0,2014-12-16 00:00:00,1.7,4.0,9.3,43.0,2014-12-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,1026.4,0.0,1028.6,2014-12-17 00:00:00,1025.0,2014-12-17 00:00:00,11.5,13.0,2014-12-17 00:00:00,10.4,2014-12-17 00:00:00,0.0,49.0,42.0,2014-12-17 00:00:00,2.3,78.0,9.9,47.0,2014-12-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,1024.4,0.0,1026.9,2014-12-18 00:00:00,1022.0,2014-12-18 00:00:00,15.1,17.5,2014-12-18 00:00:00,12.1,2014-12-18 00:00:00,0.0,57.0,47.0,2014-12-18 00:00:00,2.3,75.0,9.9,102.0,2014-12-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1019.5,0.0,1022.2,2014-12-19 00:00:00,1017.9,2014-12-19 00:00:00,16.7,18.3,2014-12-19 00:00:00,15.0,2014-12-19 00:00:00,0.0,76.0,66.0,2014-12-19 00:00:00,0.5,38.0,6.0,110.0,2014-12-19 00:00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,1018.9,0.0,1020.8,2014-12-20 00:00:00,1017.2,2014-12-20 00:00:00,15.8,17.4,2014-12-20 00:00:00,14.7,2014-12-20 00:00:00,0.0,65.0,52.0,2014-12-20 00:00:00,1.8,78.0,9.3,50.0,2014-12-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,1020.9,0.0,1024.1,2014-12-21 00:00:00,1018.1,2014-12-21 00:00:00,15.2,17.0,2014-12-21 00:00:00,13.4,2014-12-21 00:00:00,0.0,68.0,57.0,2014-12-21 00:00:00,1.1,68.0,8.2,97.0,2014-12-21 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,1023.1,0.0,1026.1,2014-12-22 00:00:00,1020.2,2014-12-22 00:00:00,13.6,15.3,2014-12-22 00:00:00,11.7,2014-12-22 00:00:00,0.0,53.0,43.0,2014-12-22 00:00:00,2.7,47.0,11.0,34.0,2014-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,1018.1,0.0,1020.3,2014-12-23 00:00:00,1015.5,2014-12-23 00:00:00,18.0,22.4,2014-12-23 00:00:00,14.4,2014-12-23 00:00:00,0.0,55.0,38.0,2014-12-23 00:00:00,0.8,59.0,9.9,30.0,2014-12-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,1019.5,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,1.5,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,1020.2,0.0,1021.9,2014-12-25 00:00:00,1018.3,2014-12-25 00:00:00,16.9,19.0,2014-12-25 00:00:00,15.4,2014-12-25 00:00:00,0.0,70.0,58.0,2014-12-25 00:00:00,2.0,76.0,10.4,80.0,2014-12-25 00:00:00,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
