,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,988.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1.1,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,987.7,0.0,989.3,2014-09-02 00:00:00,985.6,2014-09-02 00:00:00,28.7,34.4,2014-09-02 00:00:00,23.9,2014-09-02 00:00:00,0.0,71.0,45.0,2014-09-02 00:00:00,1.5,206.0,6.0,233.0,2014-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,985.9,0.0,987.5,2014-09-03 00:00:00,983.7,2014-09-03 00:00:00,28.9,32.9,2014-09-03 00:00:00,24.8,2014-09-03 00:00:00,0.0,71.0,56.0,2014-09-03 00:00:00,1.4,208.0,7.8,235.0,2014-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,984.8,0.0,986.0,2014-09-04 00:00:00,983.1,2014-09-04 00:00:00,27.2,30.4,2014-09-04 00:00:00,24.4,2014-09-04 00:00:00,0.0,80.0,64.0,2014-09-04 00:00:00,1.9,4.0,10.0,13.0,2014-09-04 00:00:00,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,983.4,0.0,985.0,2014-09-06 00:00:00,981.3,2014-09-05 00:00:00,28.4,33.6,2014-09-05 00:00:00,23.6,2014-09-05 00:00:00,0.0,73.0,53.0,2014-09-05 00:00:00,2.2,64.0,9.6,85.0,2014-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,984.2,0.0,985.7,2014-09-06 00:00:00,982.6,2014-09-06 00:00:00,28.6,34.4,2014-09-06 00:00:00,24.9,2014-09-06 00:00:00,0.0,73.0,51.0,2014-09-06 00:00:00,2.1,84.0,9.6,11.0,2014-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,985.7,0.0,987.0,2014-09-07 00:00:00,984.4,2014-09-07 00:00:00,27.5,33.1,2014-09-07 00:00:00,25.0,2014-09-07 00:00:00,0.0,80.0,59.0,2014-09-07 00:00:00,0.8,208.0,7.5,3.0,2014-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,985.4,0.0,986.8,2014-09-08 00:00:00,983.6,2014-09-08 00:00:00,28.6,33.5,2014-09-08 00:00:00,24.9,2014-09-08 00:00:00,0.0,74.0,57.0,2014-09-08 00:00:00,1.2,213.0,6.5,215.0,2014-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,985.7,0.0,987.1,2014-09-09 00:00:00,983.8,2014-09-09 00:00:00,28.6,34.2,2014-09-09 00:00:00,25.3,2014-09-09 00:00:00,0.0,75.0,53.0,2014-09-09 00:00:00,1.2,208.0,5.6,242.0,2014-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,986.2,0.0,988.1,2014-09-10 00:00:00,984.9,2014-09-10 00:00:00,27.8,31.9,2014-09-10 00:00:00,24.6,2014-09-10 00:00:00,0.0,79.0,58.0,2014-09-10 00:00:00,0.6,91.0,5.0,237.0,2014-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,985.9,0.0,988.0,2014-09-11 00:00:00,984.0,2014-09-11 00:00:00,28.2,32.1,2014-09-11 00:00:00,24.7,2014-09-11 00:00:00,0.0,78.0,58.0,2014-09-11 00:00:00,0.5,5.0,4.4,22.0,2014-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,985.6,0.0,987.2,2014-09-12 00:00:00,983.9,2014-09-12 00:00:00,28.5,33.0,2014-09-12 00:00:00,25.4,2014-09-12 00:00:00,0.0,74.0,52.0,2014-09-12 00:00:00,1.3,222.0,7.0,226.0,2014-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,985.1,0.0,986.3,2014-09-13 00:00:00,983.5,2014-09-13 00:00:00,28.4,32.8,2014-09-13 00:00:00,24.6,2014-09-13 00:00:00,0.0,74.0,57.0,2014-09-13 00:00:00,1.2,5.0,5.8,14.0,2014-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,982.5,0.0,984.5,2014-09-15 00:00:00,980.4,2014-09-14 00:00:00,28.4,32.3,2014-09-14 00:00:00,24.7,2014-09-14 00:00:00,0.0,73.0,56.0,2014-09-14 00:00:00,4.1,59.0,15.1,80.0,2014-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,980.6,0.0,984.5,2014-09-15 00:00:00,979.0,2014-09-15 00:00:00,31.2,37.0,2014-09-15 00:00:00,27.3,2014-09-15 00:00:00,0.0,62.0,43.0,2014-09-15 00:00:00,2.4,60.0,14.1,96.0,2014-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,986.8,0.0,989.9,2014-09-16 00:00:00,983.8,2014-09-16 00:00:00,29.6,34.9,2014-09-16 00:00:00,25.9,2014-09-16 00:00:00,0.0,72.0,53.0,2014-09-16 00:00:00,1.1,210.0,7.8,14.0,2014-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,989.9,0.0,991.2,2014-09-17 00:00:00,988.7,2014-09-17 00:00:00,28.8,35.4,2014-09-17 00:00:00,25.1,2014-09-17 00:00:00,0.0,78.0,49.0,2014-09-17 00:00:00,1.3,2.0,9.1,7.0,2014-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,987.3,0.0,990.4,2014-09-18 00:00:00,984.9,2014-09-18 00:00:00,28.6,33.3,2014-09-18 00:00:00,24.6,2014-09-18 00:00:00,0.0,72.0,55.0,2014-09-18 00:00:00,3.0,38.0,13.2,16.0,2014-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,981.5,0.0,985.8,2014-09-20 00:00:00,978.1,2014-09-19 00:00:00,29.2,34.2,2014-09-19 00:00:00,25.6,2014-09-19 00:00:00,0.0,67.0,49.0,2014-09-19 00:00:00,3.2,53.0,10.1,100.0,2014-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,977.6,0.0,979.6,2014-09-20 00:00:00,975.5,2014-09-20 00:00:00,29.4,35.4,2014-09-20 00:00:00,25.9,2014-09-20 00:00:00,0.0,67.0,45.0,2014-09-20 00:00:00,2.0,31.0,10.2,51.0,2014-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,975.3,0.0,977.6,2014-09-21 00:00:00,972.6,2014-09-21 00:00:00,27.3,32.0,2014-09-21 00:00:00,23.6,2014-09-21 00:00:00,0.0,76.0,52.0,2014-09-21 00:00:00,1.3,17.0,10.9,118.0,2014-09-21 00:00:00,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,982.1,0.0,984.6,2014-09-22 00:00:00,975.7,2014-09-22 00:00:00,25.1,27.8,2014-09-22 00:00:00,23.1,2014-09-22 00:00:00,0.0,88.0,75.0,2014-09-22 00:00:00,1.6,220.0,13.1,244.0,2014-09-22 00:00:00,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,985.8,0.0,988.1,2014-09-23 00:00:00,983.9,2014-09-23 00:00:00,26.8,31.0,2014-09-23 00:00:00,24.0,2014-09-23 00:00:00,0.0,83.0,67.0,2014-09-23 00:00:00,0.6,240.0,5.8,217.0,2014-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,988.8,0.0,990.2,2014-09-24 00:00:00,987.1,2014-09-24 00:00:00,26.2,30.6,2014-09-24 00:00:00,24.0,2014-09-24 00:00:00,0.0,86.0,68.0,2014-09-24 00:00:00,0.7,12.0,6.1,224.0,2014-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,989.7,0.0,991.3,2014-09-25 00:00:00,988.3,2014-09-25 00:00:00,26.0,30.1,2014-09-25 00:00:00,23.2,2014-09-25 00:00:00,0.0,83.0,67.0,2014-09-25 00:00:00,1.1,1.0,5.9,82.0,2014-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26.0,989.6,0.0,991.0,2014-09-26 00:00:00,988.4,2014-09-26 00:00:00,26.0,30.8,2014-09-26 00:00:00,23.4,2014-09-26 00:00:00,0.0,83.0,66.0,2014-09-26 00:00:00,1.1,4.0,6.4,10.0,2014-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.0,989.9,0.0,992.0,2014-09-27 00:00:00,988.7,2014-09-27 00:00:00,25.6,30.3,2014-09-27 00:00:00,22.0,2014-09-27 00:00:00,0.0,79.0,62.0,2014-09-27 00:00:00,1.3,4.0,7.0,3.0,2014-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,988.9,0.0,990.6,2014-09-28 00:00:00,987.5,2014-09-28 00:00:00,25.1,30.3,2014-09-28 00:00:00,21.7,2014-09-28 00:00:00,0.0,79.0,59.0,2014-09-28 00:00:00,1.2,356.0,6.4,7.0,2014-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,987.7,0.0,989.4,2014-09-29 00:00:00,986.3,2014-09-29 00:00:00,25.9,31.4,2014-09-29 00:00:00,21.2,2014-09-29 00:00:00,0.0,76.0,43.0,2014-09-29 00:00:00,0.7,208.0,5.6,12.0,2014-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,988.7,0.0,990.5,2014-09-30 00:00:00,986.8,2014-09-30 00:00:00,26.3,31.8,2014-09-30 00:00:00,22.4,2014-09-30 00:00:00,0.0,76.0,54.0,2014-09-30 00:00:00,2.3,47.0,11.1,29.0,2014-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
