,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,994.4,0.0,995.8,2015-08-01,992.6,2015-08-01,27.4,34.4,2015-08-01,22.5,2015-08-01,0.0,80.0,52.0,2015-08-01,0.0,0.0,0.0,0.0,2015-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,994.5,0.0,996.5,2015-08-02,992.6,2015-08-02,27.6,34.7,2015-08-02,23.2,2015-08-02,0.0,77.0,45.0,2015-08-02,0.0,0.0,0.0,0.0,2015-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,993.5,0.0,995.2,2015-08-03,991.9,2015-08-03,27.5,34.4,2015-08-03,23.4,2015-08-03,0.0,79.0,51.0,2015-08-03,0.0,0.0,1.0,113.0,2015-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,991.2,0.0,993.0,2015-08-04,989.2,2015-08-04,27.9,35.3,2015-08-04,22.9,2015-08-04,0.0,77.0,43.0,2015-08-04,0.0,0.0,1.3,119.0,2015-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,989.3,0.0,991.1,2015-08-05,987.0,2015-08-05,25.5,32.8,2015-08-05,21.4,2015-08-05,0.0,89.0,61.0,2015-08-05,0.0,0.0,2.4,124.0,2015-08-05,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,987.5,0.0,989.1,2015-08-06,985.7,2015-08-06,26.9,34.2,2015-08-06,20.6,2015-08-06,0.0,82.0,55.0,2015-08-06,0.3,161.0,6.8,133.0,2015-08-06,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,981.7,0.0,986.5,2015-08-07,972.8,2015-08-07,26.1,29.5,2015-08-07,24.3,2015-08-07,0.0,93.0,76.0,2015-08-07,0.4,130.0,10.8,160.0,2015-08-07,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,961.6,0.0,976.3,2015-08-08,950.9,2015-08-08,26.1,30.2,2015-08-08,23.9,2015-08-08,0.0,95.0,72.0,2015-08-08,0.7,153.0,13.8,130.0,2015-08-08,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,983.1,0.0,988.0,2015-08-09,976.0,2015-08-09,25.9,29.5,2015-08-09,24.2,2015-08-09,0.0,96.0,76.0,2015-08-09,0.1,130.0,3.1,291.0,2015-08-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,989.6,0.0,992.2,2015-08-10,987.2,2015-08-10,27.8,34.5,2015-08-10,23.5,2015-08-10,0.0,84.0,52.0,2015-08-10,0.3,225.0,4.1,314.0,2015-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,991.1,0.0,992.2,2015-08-11,989.5,2015-08-11,27.9,34.5,2015-08-11,23.4,2015-08-11,0.0,83.0,54.0,2015-08-11,0.2,136.0,5.0,318.0,2015-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,991.6,0.0,993.1,2015-08-12,990.0,2015-08-12,28.1,34.2,2015-08-12,23.5,2015-08-12,0.0,84.0,56.0,2015-08-12,0.5,302.0,5.8,288.0,2015-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,991.1,0.0,992.7,2015-08-13,989.3,2015-08-13,27.8,33.5,2015-08-13,24.5,2015-08-13,0.0,85.0,58.0,2015-08-13,0.1,305.0,3.4,208.0,2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,990.5,0.0,991.8,2015-08-14,988.6,2015-08-14,27.7,33.5,2015-08-14,24.4,2015-08-14,0.0,81.0,55.0,2015-08-14,0.4,104.0,7.4,294.0,2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,990.7,0.0,991.8,2015-08-15,989.2,2015-08-15,27.9,33.4,2015-08-15,24.5,2015-08-15,0.0,78.0,55.0,2015-08-15,0.6,201.0,7.6,294.0,2015-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,990.1,0.0,992.1,2015-08-16,988.3,2015-08-16,26.5,31.8,2015-08-16,23.9,2015-08-16,0.0,80.0,56.0,2015-08-16,0.7,186.0,7.5,333.0,2015-08-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,990.4,0.0,992.3,2015-08-17,989.0,2015-08-17,27.0,32.6,2015-08-17,22.3,2015-08-17,0.0,84.0,65.0,2015-08-17,0.4,296.0,5.8,292.0,2015-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
