,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1005.1,0.0,1007.0,2013-07-01,1003.9,2013-07-01,29.2,32.7,2013-07-01,25.5,2013-07-01,0.0,78.0,61.0,2013-07-01,1.4,343.0,7.5,0.0,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1006.4,0.0,1008.4,2013-07-02,1004.9,2013-07-02,29.1,33.8,2013-07-02,24.2,2013-07-02,0.0,78.0,57.0,2013-07-02,1.2,96.0,10.3,151.0,2013-07-02,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1006.1,0.0,1007.5,2013-07-04,1004.9,2013-07-03,28.7,32.8,2013-07-03,24.1,2013-07-03,0.0,78.0,60.0,2013-07-03,1.2,259.0,9.5,290.0,2013-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1004.0,0.0,1005.9,2013-07-04,1002.5,2013-07-04,29.7,32.4,2013-07-04,26.8,2013-07-04,0.0,74.0,67.0,2013-07-04,1.5,289.0,8.6,277.0,2013-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1003.7,0.0,1005.0,2013-07-05,1002.5,2013-07-05,30.3,34.1,2013-07-05,28.1,2013-07-05,0.0,70.0,54.0,2013-07-05,1.7,188.0,12.0,279.0,2013-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1005.6,0.0,1007.6,2013-07-06,1003.4,2013-07-06,29.2,33.0,2013-07-06,26.0,2013-07-06,0.0,74.0,55.0,2013-07-06,1.6,152.0,10.0,286.0,2013-07-06,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1007.2,0.0,1008.8,2013-07-07,1006.0,2013-07-07,28.6,33.5,2013-07-07,24.6,2013-07-07,0.0,79.0,57.0,2013-07-07,1.5,275.0,10.8,275.0,2013-07-07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1007.9,0.0,1009.3,2013-07-08,1006.0,2013-07-08,28.5,32.3,2013-07-08,24.5,2013-07-08,0.0,76.0,60.0,2013-07-08,1.3,275.0,6.9,286.0,2013-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1006.1,0.0,1008.1,2013-07-10,1003.9,2013-07-09,27.7,32.4,2013-07-09,24.7,2013-07-09,0.0,78.0,61.0,2013-07-09,1.2,134.0,6.3,319.0,2013-07-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1004.8,0.0,1006.1,2013-07-10,1003.4,2013-07-10,28.0,32.0,2013-07-10,24.1,2013-07-10,0.0,78.0,65.0,2013-07-10,1.2,136.0,6.7,332.0,2013-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
