,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,975.3,0.0,977.2,2013-01-01 00:00:00,974.1,2013-01-01 00:00:00,12.7,14.9,2013-01-01 00:00:00,10.2,2013-01-01 00:00:00,0.0,89.0,77.0,2013-01-01 00:00:00,0.3,101.0,1.5,291.0,2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,975.7,0.0,977.5,2013-01-02 00:00:00,974.0,2013-01-02 00:00:00,15.8,20.0,2013-01-02 00:00:00,12.9,2013-01-02 00:00:00,0.0,89.0,73.0,2013-01-02 00:00:00,0.5,30.0,3.4,352.0,2013-01-02 00:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,976.8,0.0,978.5,2013-01-03 00:00:00,975.2,2013-01-03 00:00:00,14.0,17.8,2013-01-03 00:00:00,11.8,2013-01-03 00:00:00,0.0,94.0,83.0,2013-01-03 00:00:00,0.7,2.0,3.3,350.0,2013-01-03 00:00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,973.9,0.0,976.8,2013-01-04 00:00:00,971.4,2013-01-04 00:00:00,15.0,20.1,2013-01-04 00:00:00,11.5,2013-01-04 00:00:00,0.0,89.0,65.0,2013-01-04 00:00:00,0.8,308.0,3.2,298.0,2013-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,972.5,0.0,974.6,2013-01-05 00:00:00,970.2,2013-01-05 00:00:00,15.8,21.3,2013-01-05 00:00:00,13.9,2013-01-05 00:00:00,0.0,89.0,62.0,2013-01-05 00:00:00,0.6,4.0,4.0,311.0,2013-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,972.8,0.0,975.0,2013-01-06 00:00:00,970.3,2013-01-06 00:00:00,16.7,22.7,2013-01-06 00:00:00,11.4,2013-01-06 00:00:00,0.0,87.0,62.0,2013-01-06 00:00:00,0.7,307.0,3.3,354.0,2013-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,972.0,0.0,974.7,2013-01-07 00:00:00,969.0,2013-01-07 00:00:00,18.1,24.0,2013-01-07 00:00:00,15.2,2013-01-07 00:00:00,0.0,86.0,61.0,2013-01-07 00:00:00,0.8,302.0,3.5,291.0,2013-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,972.2,0.0,974.3,2013-01-08 00:00:00,969.9,2013-01-08 00:00:00,15.7,17.9,2013-01-08 00:00:00,13.9,2013-01-08 00:00:00,0.0,94.0,84.0,2013-01-08 00:00:00,0.7,6.0,2.8,352.0,2013-01-08 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,973.5,0.0,974.9,2013-01-09 00:00:00,971.5,2013-01-09 00:00:00,12.8,14.8,2013-01-09 00:00:00,11.9,2013-01-09 00:00:00,0.0,93.0,86.0,2013-01-09 00:00:00,0.8,11.0,4.0,10.0,2013-01-09 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,974.2,0.0,976.0,2013-01-10 00:00:00,972.7,2013-01-10 00:00:00,13.7,18.0,2013-01-10 00:00:00,11.6,2013-01-10 00:00:00,0.0,87.0,70.0,2013-01-10 00:00:00,0.7,10.0,2.4,311.0,2013-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,974.7,0.0,976.2,2013-01-11 00:00:00,973.4,2013-01-11 00:00:00,15.6,20.5,2013-01-11 00:00:00,10.0,2013-01-11 00:00:00,0.0,85.0,51.0,2013-01-11 00:00:00,0.7,2.0,3.3,293.0,2013-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,972.5,0.0,976.2,2013-01-12 00:00:00,969.7,2013-01-12 00:00:00,16.9,21.9,2013-01-12 00:00:00,14.6,2013-01-12 00:00:00,0.0,92.0,68.0,2013-01-12 00:00:00,0.6,4.0,4.7,317.0,2013-01-12 00:00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,969.3,0.0,971.4,2013-01-13 00:00:00,967.1,2013-01-13 00:00:00,15.2,18.5,2013-01-13 00:00:00,11.6,2013-01-13 00:00:00,0.0,94.0,83.0,2013-01-13 00:00:00,0.9,9.0,3.7,349.0,2013-01-13 00:00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,973.0,0.0,975.6,2013-01-14 00:00:00,969.9,2013-01-14 00:00:00,12.5,18.6,2013-01-14 00:00:00,9.0,2013-01-14 00:00:00,0.0,77.0,49.0,2013-01-14 00:00:00,0.6,7.0,3.2,351.0,2013-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,976.2,0.0,978.0,2013-01-15 00:00:00,974.0,2013-01-15 00:00:00,13.6,20.6,2013-01-15 00:00:00,8.3,2013-01-15 00:00:00,0.0,77.0,43.0,2013-01-15 00:00:00,0.8,306.0,3.9,319.0,2013-01-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,976.8,0.0,978.7,2013-01-16 00:00:00,974.0,2013-01-16 00:00:00,14.0,20.5,2013-01-16 00:00:00,8.0,2013-01-16 00:00:00,0.0,76.0,29.0,2013-01-16 00:00:00,0.7,4.0,4.7,290.0,2013-01-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,979.0,0.0,980.6,2013-01-17 00:00:00,976.9,2013-01-17 00:00:00,11.9,16.7,2013-01-17 00:00:00,9.0,2013-01-17 00:00:00,0.0,82.0,62.0,2013-01-17 00:00:00,0.9,5.0,9.4,354.0,2013-01-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,979.8,0.0,982.5,2013-01-18 00:00:00,977.2,2013-01-18 00:00:00,11.4,18.0,2013-01-18 00:00:00,7.4,2013-01-18 00:00:00,0.0,73.0,49.0,2013-01-18 00:00:00,0.6,3.0,4.3,317.0,2013-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
