,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,987.7,0.0,989.8,2014-03-01,984.9,2014-03-01,21.0,25.8,2014-03-01,17.3,2014-03-01,0.0,75.0,51.0,2014-03-01,1.0,22.0,5.7,214.0,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,987.4,0.0,989.2,2014-03-02,985.5,2014-03-02,15.7,20.3,2014-03-02,13.5,2014-03-02,0.0,88.0,73.0,2014-03-02,1.6,8.0,5.1,350.0,2014-03-02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,989.4,0.0,990.8,2014-03-03,987.6,2014-03-03,15.2,18.8,2014-03-03,12.3,2014-03-03,0.0,83.0,71.0,2014-03-03,1.4,30.0,4.6,328.0,2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,989.9,0.0,991.7,2014-03-04,987.7,2014-03-04,16.6,23.5,2014-03-04,13.7,2014-03-04,0.0,88.0,60.0,2014-03-04,1.1,10.0,5.5,306.0,2014-03-04,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,990.5,0.0,991.7,2014-03-05,988.5,2014-03-05,15.5,20.2,2014-03-05,12.8,2014-03-05,0.0,82.0,61.0,2014-03-05,1.7,4.0,5.5,4.0,2014-03-05,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,990.9,0.0,993.4,2014-03-06,989.2,2014-03-06,13.9,16.7,2014-03-06,12.6,2014-03-06,0.0,86.0,76.0,2014-03-06,1.3,7.0,3.9,18.0,2014-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,992.7,0.0,994.6,2014-03-07,991.0,2014-03-07,14.4,18.1,2014-03-07,12.1,2014-03-07,0.0,90.0,74.0,2014-03-07,1.4,6.0,4.7,25.0,2014-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,990.9,0.0,993.1,2014-03-08,989.2,2014-03-08,13.8,16.3,2014-03-08,12.0,2014-03-08,0.0,97.0,92.0,2014-03-08,1.3,1.0,4.9,20.0,2014-03-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,992.0,0.0,993.7,2014-03-09,990.8,2014-03-09,12.8,14.8,2014-03-09,11.2,2014-03-09,0.0,86.0,73.0,2014-03-09,1.7,17.0,6.8,12.0,2014-03-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,993.6,0.0,995.5,2014-03-10,991.7,2014-03-10,15.6,19.3,2014-03-10,11.5,2014-03-10,0.0,84.0,71.0,2014-03-10,1.0,3.0,4.6,170.0,2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,993.5,0.0,995.8,2014-03-11,991.7,2014-03-11,16.4,20.1,2014-03-11,14.4,2014-03-11,0.0,91.0,70.0,2014-03-11,0.9,319.0,4.9,306.0,2014-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,987.8,0.0,992.0,2014-03-12,984.6,2014-03-12,17.9,23.5,2014-03-12,14.2,2014-03-12,0.0,92.0,66.0,2014-03-12,0.9,190.0,5.0,179.0,2014-03-12,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,988.6,0.0,991.7,2014-03-13,985.5,2014-03-13,17.3,21.2,2014-03-13,14.8,2014-03-13,0.0,90.0,68.0,2014-03-13,1.3,10.0,6.9,342.0,2014-03-13,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,993.3,0.0,995.1,2014-03-14,991.2,2014-03-14,15.1,18.7,2014-03-14,13.0,2014-03-14,0.0,61.0,49.0,2014-03-14,1.4,16.0,6.6,23.0,2014-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,994.0,0.0,995.6,2014-03-15,992.4,2014-03-15,17.1,22.4,2014-03-15,13.1,2014-03-15,0.0,71.0,36.0,2014-03-15,1.0,316.0,5.0,305.0,2014-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,994.0,0.0,995.9,2014-03-16,992.3,2014-03-16,17.4,21.3,2014-03-16,15.1,2014-03-16,0.0,76.0,58.0,2014-03-16,0.8,4.0,4.0,328.0,2014-03-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
