,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1004.1,0.0,1005.9,2016-03-01,1002.1,2016-03-01,15.5,21.1,2016-03-01,10.7,2016-03-01,0.0,60.0,43.0,2016-03-01,3.0,5.0,10.1,6.0,2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1003.7,0.0,1005.7,2016-03-02,1002.1,2016-03-02,16.9,21.1,2016-03-02,13.1,2016-03-02,0.0,71.0,50.0,2016-03-02,1.4,3.0,7.5,330.0,2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1002.1,0.0,1004.7,2016-03-03,1000.2,2016-03-03,18.6,23.2,2016-03-03,13.9,2016-03-03,0.0,66.0,40.0,2016-03-03,1.3,360.0,7.4,303.0,2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1000.1,0.0,1001.8,2016-03-04,998.4,2016-03-04,20.3,24.1,2016-03-04,15.7,2016-03-04,0.0,64.0,46.0,2016-03-04,2.3,3.0,7.9,11.0,2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,997.3,0.0,999.7,2016-03-05,993.6,2016-03-05,22.1,26.2,2016-03-05,17.5,2016-03-05,0.0,66.0,46.0,2016-03-05,2.1,2.0,9.0,13.0,2016-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,996.6,0.0,998.5,2016-03-06,994.6,2016-03-06,21.7,26.4,2016-03-06,19.0,2016-03-06,0.0,77.0,46.0,2016-03-06,1.9,1.0,8.3,10.0,2016-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,996.3,0.0,998.0,2016-03-07,994.3,2016-03-07,21.2,27.5,2016-03-07,17.6,2016-03-07,0.0,81.0,53.0,2016-03-07,2.0,36.0,6.6,301.0,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,994.6,0.0,996.8,2016-03-08,992.1,2016-03-08,22.9,25.9,2016-03-08,20.1,2016-03-08,0.0,81.0,65.0,2016-03-08,2.6,182.0,8.4,242.0,2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,995.2,0.0,998.4,2016-03-09,993.0,2016-03-09,18.6,25.0,2016-03-09,13.6,2016-03-09,0.0,87.0,63.0,2016-03-09,3.6,17.0,12.8,39.0,2016-03-09,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,999.1,0.0,1002.2,2016-03-10,996.8,2016-03-10,11.6,14.4,2016-03-10,10.0,2016-03-10,0.0,92.0,87.0,2016-03-10,6.3,20.0,19.1,42.0,2016-03-10,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
