,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1023.4,0.0,1025.3,2016-01-01 00:00:00,1021.8,2016-01-01 00:00:00,18.8,23.0,2016-01-01 00:00:00,15.4,2016-01-01 00:00:00,0.0,84.0,67.0,2016-01-01 00:00:00,3.2,8.0,8.2,1.0,2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1021.2,0.0,1023.5,2016-01-02 00:00:00,1018.8,2016-01-02 00:00:00,19.8,22.5,2016-01-02 00:00:00,18.4,2016-01-02 00:00:00,0.0,99.0,0.0,2016-01-02 00:00:00,2.8,1.0,8.5,36.0,2016-01-02 00:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1019.0,0.0,1021.0,2016-01-03 00:00:00,1016.8,2016-01-03 00:00:00,19.9,21.7,2016-01-03 00:00:00,18.7,2016-01-03 00:00:00,0.0,0.0,0.0,2016-01-03 00:00:00,1.7,2.0,4.8,30.0,2016-01-03 00:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1017.9,0.0,1020.0,2016-01-04 00:00:00,1016.6,2016-01-04 00:00:00,20.9,24.6,2016-01-04 00:00:00,19.5,2016-01-04 00:00:00,0.0,0.0,0.0,2016-01-04 00:00:00,1.7,14.0,6.5,342.0,2016-01-04 00:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1016.1,0.0,1017.5,2016-01-05 00:00:00,1014.6,2016-01-05 00:00:00,20.6,22.5,2016-01-05 00:00:00,19.0,2016-01-05 00:00:00,0.0,0.0,0.0,2016-01-05 00:00:00,2.2,1.0,6.2,346.0,2016-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1017.1,0.0,1019.3,2016-01-06 00:00:00,1015.9,2016-01-06 00:00:00,19.4,20.5,2016-01-06 00:00:00,17.7,2016-01-06 00:00:00,0.0,85.0,80.0,2016-01-06 00:00:00,5.0,11.0,14.3,32.0,2016-01-06 00:00:00,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1019.2,0.0,1021.2,2016-01-07 00:00:00,1017.8,2016-01-07 00:00:00,18.3,21.9,2016-01-07 00:00:00,17.1,2016-01-07 00:00:00,0.0,78.0,68.0,2016-01-07 00:00:00,5.5,25.0,15.4,2.0,2016-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1018.7,0.0,1020.7,2016-01-08 00:00:00,1015.9,2016-01-08 00:00:00,17.6,20.6,2016-01-08 00:00:00,16.3,2016-01-08 00:00:00,0.0,80.0,69.0,2016-01-08 00:00:00,4.6,19.0,15.3,355.0,2016-01-08 00:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1019.3,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,3.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1017.2,0.0,1019.9,2016-01-10 00:00:00,1014.7,2016-01-10 00:00:00,18.1,21.4,2016-01-10 00:00:00,13.6,2016-01-10 00:00:00,0.0,89.0,77.0,2016-01-10 00:00:00,3.4,12.0,8.3,3.0,2016-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1015.3,0.0,1017.8,2016-01-11 00:00:00,1013.3,2016-01-11 00:00:00,17.3,19.0,2016-01-11 00:00:00,15.6,2016-01-11 00:00:00,0.0,92.0,85.0,2016-01-11 00:00:00,3.5,18.0,10.5,4.0,2016-01-11 00:00:00,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1017.2,0.0,1019.6,2016-01-12 00:00:00,1015.0,2016-01-12 00:00:00,17.5,20.7,2016-01-12 00:00:00,15.7,2016-01-12 00:00:00,0.0,80.0,69.0,2016-01-12 00:00:00,5.6,21.0,14.7,19.0,2016-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1018.7,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,5.4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1018.0,0.0,1021.0,2016-01-14 00:00:00,1015.5,2016-01-14 00:00:00,15.7,21.5,2016-01-14 00:00:00,13.2,2016-01-14 00:00:00,0.0,77.0,56.0,2016-01-14 00:00:00,3.7,31.0,10.9,32.0,2016-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1015.1,0.0,1016.3,2016-01-15 00:00:00,1013.6,2016-01-15 00:00:00,15.9,17.4,2016-01-15 00:00:00,14.5,2016-01-15 00:00:00,0.0,89.0,81.0,2016-01-15 00:00:00,2.4,30.0,7.0,27.0,2016-01-15 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
