,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,998.1,0.0,1000.0,2015-10-01,996.5,2015-10-01,28.8,34.0,2015-10-01,24.7,2015-10-01,0.0,80.0,56.0,2015-10-01,1.0,14.0,5.0,222.0,2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,997.0,0.0,998.6,2015-10-02,995.2,2015-10-02,28.8,33.6,2015-10-02,25.6,2015-10-02,0.0,79.0,57.0,2015-10-02,0.5,107.0,4.5,342.0,2015-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,999.6,0.0,1002.5,2015-10-03,997.5,2015-10-03,28.9,35.2,2015-10-03,25.3,2015-10-03,0.0,79.0,51.0,2015-10-03,1.2,160.0,5.3,134.0,2015-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1001.8,0.0,1003.0,2015-10-04,1000.0,2015-10-04,28.7,34.5,2015-10-04,24.7,2015-10-04,0.0,79.0,52.0,2015-10-04,1.2,160.0,5.0,223.0,2015-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1000.9,0.0,1002.7,2015-10-05,998.9,2015-10-05,28.9,34.4,2015-10-05,26.0,2015-10-05,0.0,76.0,51.0,2015-10-05,1.3,113.0,4.4,352.0,2015-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,998.7,0.0,1000.8,2015-10-06,996.8,2015-10-06,28.3,32.9,2015-10-06,25.4,2015-10-06,0.0,79.0,62.0,2015-10-06,1.3,118.0,5.2,152.0,2015-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,997.0,0.0,998.9,2015-10-07,994.9,2015-10-07,27.3,33.0,2015-10-07,24.1,2015-10-07,0.0,79.0,54.0,2015-10-07,1.3,158.0,5.9,211.0,2015-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,994.9,0.0,996.5,2015-10-08,993.3,2015-10-08,26.7,30.4,2015-10-08,24.2,2015-10-08,0.0,80.0,62.0,2015-10-08,1.9,168.0,5.1,135.0,2015-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,994.2,0.0,995.8,2015-10-09,992.3,2015-10-09,26.2,31.6,2015-10-09,23.3,2015-10-09,0.0,81.0,63.0,2015-10-09,1.2,133.0,8.1,149.0,2015-10-09,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,996.3,0.0,999.1,2015-10-10,994.5,2015-10-10,25.6,30.2,2015-10-10,22.8,2015-10-10,0.0,73.0,53.0,2015-10-10,0.6,103.0,5.2,339.0,2015-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1000.0,0.0,1003.2,2015-10-11,997.7,2015-10-11,23.6,26.7,2015-10-11,20.4,2015-10-11,0.0,76.0,60.0,2015-10-11,0.6,17.0,5.2,342.0,2015-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1001.4,0.0,1003.0,2015-10-12,999.3,2015-10-12,24.5,30.0,2015-10-12,20.6,2015-10-12,0.0,74.0,57.0,2015-10-12,0.6,85.0,5.0,211.0,2015-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1001.5,0.0,1003.5,2015-10-13,999.6,2015-10-13,25.3,30.9,2015-10-13,21.4,2015-10-13,0.0,64.0,47.0,2015-10-13,0.5,11.0,6.0,347.0,2015-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1000.1,0.0,1001.5,2015-10-14,998.4,2015-10-14,24.2,30.5,2015-10-14,19.5,2015-10-14,0.0,68.0,48.0,2015-10-14,0.5,192.0,5.1,213.0,2015-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,997.6,0.0,1000.0,2015-10-15,995.3,2015-10-15,24.3,30.7,2015-10-15,19.8,2015-10-15,0.0,71.0,46.0,2015-10-15,0.5,1.0,6.1,346.0,2015-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,995.7,0.0,998.0,2015-10-16,993.0,2015-10-16,25.1,31.8,2015-10-16,20.7,2015-10-16,0.0,71.0,45.0,2015-10-16,0.6,188.0,5.8,349.0,2015-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,994.7,0.0,996.9,2015-10-17,992.8,2015-10-17,25.1,32.6,2015-10-17,20.4,2015-10-17,0.0,67.0,36.0,2015-10-17,0.6,195.0,5.0,347.0,2015-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,993.6,0.0,995.3,2015-10-18,991.7,2015-10-18,25.0,30.5,2015-10-18,20.7,2015-10-18,0.0,73.0,53.0,2015-10-18,0.5,181.0,3.9,352.0,2015-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,990.1,0.0,993.4,2015-10-19,987.6,2015-10-19,26.1,31.3,2015-10-19,22.3,2015-10-19,0.0,79.0,54.0,2015-10-19,0.9,176.0,4.5,155.0,2015-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,989.0,0.0,990.4,2015-10-20,987.6,2015-10-20,26.4,30.2,2015-10-20,24.3,2015-10-20,0.0,85.0,65.0,2015-10-20,0.7,164.0,4.1,345.0,2015-10-20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,991.3,0.0,993.7,2015-10-21,988.7,2015-10-21,26.1,28.8,2015-10-21,24.5,2015-10-21,0.0,86.0,73.0,2015-10-21,0.4,7.0,4.4,135.0,2015-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
