,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,674.4,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,678.0,0.0,680.3,2013-01-02 00:00:00,674.6,2013-01-02 00:00:00,1.2,3.5,2013-01-02 00:00:00,0.0,0.0,0.0,100.0,99.0,2013-01-02 00:00:00,1.1,345.0,10.1,350.0,2013-01-02 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,679.3,0.0,681.0,2013-01-03 00:00:00,677.7,2013-01-03 00:00:00,3.4,6.3,2013-01-03 00:00:00,1.9,2013-01-03 00:00:00,0.0,100.0,100.0,2013-01-03 00:00:00,2.2,323.0,9.7,208.0,2013-01-03 00:00:00,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,676.3,0.0,678.6,2013-01-04 00:00:00,674.6,2013-01-04 00:00:00,1.0,2.2,2013-01-04 00:00:00,0.0,0.0,0.0,100.0,99.0,2013-01-04 00:00:00,2.0,318.0,7.5,352.0,2013-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,675.7,0.0,676.8,2013-01-05 00:00:00,674.3,2013-01-05 00:00:00,0.4,3.6,2013-01-05 00:00:00,0.0,0.0,0.0,94.0,43.0,2013-01-05 00:00:00,1.4,300.0,6.1,184.0,2013-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,677.0,0.0,678.7,2013-01-06 00:00:00,675.3,2013-01-06 00:00:00,1.3,3.9,2013-01-06 00:00:00,0.0,0.0,0.0,88.0,59.0,2013-01-06 00:00:00,2.5,317.0,9.8,314.0,2013-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,677.6,0.0,679.1,2013-01-07 00:00:00,676.2,2013-01-07 00:00:00,2.7,4.2,2013-01-07 00:00:00,1.0,2013-01-07 00:00:00,0.0,100.0,100.0,2013-01-07 00:00:00,3.2,318.0,10.5,353.0,2013-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,676.8,0.0,678.7,2013-01-08 00:00:00,674.7,2013-01-08 00:00:00,4.4,6.4,2013-01-08 00:00:00,3.3,2013-01-08 00:00:00,0.0,100.0,100.0,2013-01-08 00:00:00,3.8,318.0,11.5,12.0,2013-01-08 00:00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,675.2,0.0,677.1,2013-01-09 00:00:00,673.4,2013-01-09 00:00:00,2.6,4.4,2013-01-09 00:00:00,1.1,2013-01-09 00:00:00,0.0,100.0,99.0,2013-01-09 00:00:00,2.6,333.0,12.4,0.0,2013-01-09 00:00:00,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,675.4,0.0,676.6,2013-01-10 00:00:00,673.1,2013-01-10 00:00:00,-1.3,1.9,2013-01-10 00:00:00,0.0,0.0,0.0,100.0,98.0,2013-01-10 00:00:00,0.4,329.0,11.0,25.0,2013-01-10 00:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
