,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,992.2,0.0,993.7,2014-07-01,990.5,2014-07-01,29.3,34.3,2014-07-01,25.0,2014-07-01,0.0,91.0,66.0,2014-07-01,0.7,268.0,5.4,220.0,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,989.8,0.0,992.1,2014-07-02,987.6,2014-07-02,30.0,36.1,2014-07-02,26.1,2014-07-02,0.0,85.0,58.0,2014-07-02,0.8,15.0,5.6,237.0,2014-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,987.0,0.0,988.8,2014-07-03,984.9,2014-07-03,30.1,34.7,2014-07-03,25.8,2014-07-03,0.0,85.0,63.0,2014-07-03,0.9,42.0,4.4,288.0,2014-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,986.9,0.0,987.9,2014-07-04,985.5,2014-07-04,29.0,34.8,2014-07-04,26.3,2014-07-04,0.0,93.0,63.0,2014-07-04,0.6,72.0,4.1,239.0,2014-07-04,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,986.7,0.0,988.2,2014-07-05,985.7,2014-07-05,29.5,34.6,2014-07-05,25.3,2014-07-05,0.0,86.0,61.0,2014-07-05,0.7,15.0,5.0,40.0,2014-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,985.8,0.0,987.7,2014-07-06,983.9,2014-07-06,30.1,34.2,2014-07-06,25.8,2014-07-06,0.0,86.0,68.0,2014-07-06,0.7,71.0,4.5,272.0,2014-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,981.7,0.0,985.1,2014-07-07,979.1,2014-07-07,30.1,34.1,2014-07-07,26.2,2014-07-07,0.0,92.0,66.0,2014-07-07,0.9,165.0,5.2,294.0,2014-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,980.0,0.0,983.2,2014-07-08,977.2,2014-07-08,28.9,31.9,2014-07-08,26.3,2014-07-08,0.0,94.0,75.0,2014-07-08,1.0,34.0,6.5,333.0,2014-07-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,985.5,0.0,987.6,2014-07-09,982.9,2014-07-09,30.6,35.5,2014-07-09,26.1,2014-07-09,0.0,84.0,61.0,2014-07-09,1.0,236.0,7.1,233.0,2014-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,987.2,0.0,988.9,2014-07-10,985.7,2014-07-10,30.5,35.5,2014-07-10,27.0,2014-07-10,0.0,87.0,63.0,2014-07-10,0.9,256.0,6.9,220.0,2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,988.8,0.0,991.5,2014-07-11,987.1,2014-07-11,30.0,34.0,2014-07-11,26.3,2014-07-11,0.0,90.0,71.0,2014-07-11,1.0,277.0,6.2,244.0,2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,990.3,0.0,992.6,2014-07-12,988.2,2014-07-12,30.9,37.0,2014-07-12,25.9,2014-07-12,0.0,84.0,54.0,2014-07-12,1.0,65.0,6.1,302.0,2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
