,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,985.1,0.0,987.3,2014-01-01,982.5,2014-01-01,17.9,26.3,2014-01-01,10.8,2014-01-01,0.0,68.0,36.0,2014-01-01,0.5,340.0,3.0,146.0,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,983.7,0.0,986.1,2014-01-02,980.9,2014-01-02,18.8,28.8,2014-01-02,11.7,2014-01-02,0.0,69.0,30.0,2014-01-02,0.5,345.0,2.1,146.0,2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,981.6,0.0,983.6,2014-01-03,978.8,2014-01-03,21.0,28.3,2014-01-03,15.1,2014-01-03,0.0,74.0,52.0,2014-01-03,0.7,346.0,5.4,353.0,2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,982.1,0.0,984.2,2014-01-04,980.5,2014-01-04,18.0,25.7,2014-01-04,12.4,2014-01-04,0.0,74.0,54.0,2014-01-04,0.6,344.0,4.6,355.0,2014-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,984.2,0.0,986.3,2014-01-05,981.9,2014-01-05,16.1,24.1,2014-01-05,10.6,2014-01-05,0.0,69.0,36.0,2014-01-05,0.4,4.0,3.5,116.0,2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,984.8,0.0,986.3,2014-01-06,982.7,2014-01-06,16.3,24.4,2014-01-06,11.4,2014-01-06,0.0,67.0,35.0,2014-01-06,0.4,341.0,3.9,354.0,2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,984.4,0.0,986.4,2014-01-07,982.0,2014-01-07,17.4,27.3,2014-01-07,11.3,2014-01-07,0.0,70.0,32.0,2014-01-07,0.4,165.0,2.4,141.0,2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,984.2,0.0,985.5,2014-01-08,981.5,2014-01-08,18.2,25.2,2014-01-08,12.7,2014-01-08,0.0,75.0,42.0,2014-01-08,0.6,346.0,6.0,15.0,2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,987.1,0.0,989.8,2014-01-09,985.0,2014-01-09,16.9,23.3,2014-01-09,14.0,2014-01-09,0.0,81.0,55.0,2014-01-09,0.4,147.0,3.8,186.0,2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,989.5,0.0,991.5,2014-01-10,986.6,2014-01-10,17.1,24.4,2014-01-10,13.4,2014-01-10,0.0,77.0,48.0,2014-01-10,0.5,352.0,3.8,341.0,2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
