,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1006.3,0.0,1008.0,2016-04-01 00:00:00,1004.4,2016-04-01 00:00:00,22.9,27.6,2016-04-01 00:00:00,19.0,2016-04-01 00:00:00,0.0,84.0,64.0,2016-04-01 00:00:00,0.9,46.0,4.9,294.0,2016-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1007.1,0.0,1008.9,2016-04-02 00:00:00,1004.6,2016-04-02 00:00:00,23.9,31.0,2016-04-02 00:00:00,19.6,2016-04-02 00:00:00,0.0,82.0,52.0,2016-04-02 00:00:00,1.1,67.0,5.5,248.0,2016-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1006.0,0.0,1007.8,2016-04-03 00:00:00,1004.2,2016-04-03 00:00:00,24.7,31.1,2016-04-03 00:00:00,19.9,2016-04-03 00:00:00,0.0,82.0,55.0,2016-04-03 00:00:00,1.7,93.0,7.3,256.0,2016-04-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1004.7,0.0,1006.3,2016-04-04 00:00:00,1002.8,2016-04-04 00:00:00,24.6,31.0,2016-04-04 00:00:00,19.3,2016-04-04 00:00:00,0.0,81.0,55.0,2016-04-04 00:00:00,1.4,102.0,4.6,290.0,2016-04-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1005.8,0.0,1007.8,2016-04-05 00:00:00,1003.9,2016-04-05 00:00:00,24.6,32.4,2016-04-05 00:00:00,19.9,2016-04-05 00:00:00,0.0,82.0,47.0,2016-04-05 00:00:00,1.5,37.0,6.4,271.0,2016-04-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1005.0,0.0,1007.5,2016-04-06 00:00:00,1002.5,2016-04-06 00:00:00,26.7,33.2,2016-04-06 00:00:00,20.3,2016-04-06 00:00:00,0.0,72.0,43.0,2016-04-06 00:00:00,1.8,91.0,7.4,198.0,2016-04-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1005.2,0.0,1006.9,2016-04-07 00:00:00,1003.3,2016-04-07 00:00:00,27.3,33.4,2016-04-07 00:00:00,22.2,2016-04-07 00:00:00,0.0,75.0,50.0,2016-04-07 00:00:00,2.0,105.0,9.2,244.0,2016-04-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1005.1,0.0,1006.6,2016-04-08 00:00:00,1002.9,2016-04-08 00:00:00,26.3,33.9,2016-04-08 00:00:00,21.3,2016-04-08 00:00:00,0.0,76.0,37.0,2016-04-08 00:00:00,1.7,96.0,7.9,300.0,2016-04-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1004.1,0.0,1005.7,2016-04-09 00:00:00,1000.9,2016-04-09 00:00:00,25.2,32.4,2016-04-09 00:00:00,19.8,2016-04-09 00:00:00,0.0,79.0,44.0,2016-04-09 00:00:00,1.7,51.0,6.1,265.0,2016-04-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1002.2,0.0,1004.4,2016-04-10 00:00:00,1000.2,2016-04-10 00:00:00,24.9,32.1,2016-04-10 00:00:00,20.4,2016-04-10 00:00:00,0.0,79.0,46.0,2016-04-10 00:00:00,1.6,108.0,11.3,308.0,2016-04-10 00:00:00,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1002.4,0.0,1004.0,2016-04-11 00:00:00,1000.4,2016-04-11 00:00:00,22.7,27.5,2016-04-11 00:00:00,20.2,2016-04-11 00:00:00,0.0,89.0,71.0,2016-04-11 00:00:00,1.4,5.0,6.9,302.0,2016-04-11 00:00:00,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1001.4,0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,999.6,0.0,1002.0,2016-04-13 00:00:00,996.9,2016-04-13 00:00:00,24.0,29.2,2016-04-13 00:00:00,22.0,2016-04-13 00:00:00,0.0,88.0,60.0,2016-04-13 00:00:00,1.9,100.0,10.4,171.0,2016-04-13 00:00:00,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1002.7,0.0,1005.1,2016-04-14 00:00:00,1000.3,2016-04-14 00:00:00,24.2,29.6,2016-04-14 00:00:00,21.3,2016-04-14 00:00:00,0.0,89.0,67.0,2016-04-14 00:00:00,1.8,87.0,7.1,132.0,2016-04-14 00:00:00,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
