,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1005.0,0.0,1006.9,2016-02-01,1002.4,2016-02-01,19.2,27.0,2016-02-01,15.7,2016-02-01,0.0,85.0,56.0,2016-02-01,0.9,304.0,4.6,321.0,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1006.9,0.0,1008.7,2016-02-02,1005.1,2016-02-02,16.1,19.9,2016-02-02,14.1,2016-02-02,0.0,95.0,77.0,2016-02-02,0.8,315.0,5.3,321.0,2016-02-02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1007.2,0.0,1008.6,2016-02-03,1005.0,2016-02-03,17.9,23.8,2016-02-03,14.4,2016-02-03,0.0,85.0,59.0,2016-02-03,0.8,324.0,4.3,297.0,2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1005.2,0.0,1008.1,2016-02-04,1002.2,2016-02-04,19.5,27.6,2016-02-04,13.6,2016-02-04,0.0,81.0,47.0,2016-02-04,0.8,160.0,5.0,328.0,2016-02-04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1003.5,0.0,1005.4,2016-02-05,999.8,2016-02-05,17.7,23.7,2016-02-05,13.2,2016-02-05,0.0,87.0,61.0,2016-02-05,1.2,313.0,9.7,69.0,2016-02-05,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1006.4,0.0,1009.9,2016-02-06,1003.8,2016-02-06,13.9,17.8,2016-02-06,9.1,2016-02-06,0.0,80.0,62.0,2016-02-06,0.8,265.0,4.1,312.0,2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1009.3,0.0,1011.8,2016-02-07,1005.6,2016-02-07,14.3,22.9,2016-02-07,7.4,2016-02-07,0.0,68.0,37.0,2016-02-07,1.1,287.0,6.0,125.0,2016-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1009.1,0.0,1011.1,2016-02-08,1006.3,2016-02-08,16.7,24.0,2016-02-08,11.8,2016-02-08,0.0,56.0,33.0,2016-02-08,1.7,104.0,8.1,133.0,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1007.8,0.0,1010.2,2016-02-09,1006.0,2016-02-09,17.9,25.1,2016-02-09,12.6,2016-02-09,0.0,51.0,26.0,2016-02-09,1.7,111.0,9.7,120.0,2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1004.7,0.0,1007.3,2016-02-10,1002.2,2016-02-10,20.1,26.5,2016-02-10,16.2,2016-02-10,0.0,54.0,29.0,2016-02-10,1.1,54.0,6.7,122.0,2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1002.2,0.0,1004.1,2016-02-11,999.9,2016-02-11,22.3,31.0,2016-02-11,18.0,2016-02-11,0.0,72.0,44.0,2016-02-11,1.2,55.0,7.7,82.0,2016-02-11,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1001.8,0.0,1003.7,2016-02-12,1000.0,2016-02-12,24.6,31.1,2016-02-12,20.2,2016-02-12,0.0,75.0,52.0,2016-02-12,1.6,110.0,6.9,196.0,2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1001.1,0.0,1003.3,2016-02-13,998.9,2016-02-13,25.2,32.9,2016-02-13,20.4,2016-02-13,0.0,58.0,31.0,2016-02-13,1.8,111.0,8.5,115.0,2016-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1001.4,0.0,1004.4,2016-02-14,999.2,2016-02-14,24.5,31.1,2016-02-14,18.6,2016-02-14,0.0,62.0,37.0,2016-02-14,1.8,108.0,9.7,146.0,2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1007.6,0.0,1010.3,2016-02-15,1004.3,2016-02-15,15.3,18.7,2016-02-15,13.4,2016-02-15,0.0,84.0,76.0,2016-02-15,0.8,317.0,5.1,318.0,2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
