,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,955.9,0.0,957.2,2016-07-01,954.2,2016-07-01,26.3,30.9,2016-07-01,22.9,2016-07-01,0.0,0.0,0.0,0.0,0.9,94.0,5.0,126.0,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,955.7,0.0,957.3,2016-07-02,953.9,2016-07-02,26.7,31.6,2016-07-02,23.5,2016-07-02,0.0,0.0,0.0,0.0,0.9,182.0,7.7,187.0,2016-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,955.8,0.0,956.9,2016-07-03,954.3,2016-07-03,26.8,30.8,2016-07-03,23.4,2016-07-03,0.0,0.0,0.0,0.0,0.9,186.0,5.7,167.0,2016-07-03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,955.0,0.0,956.3,2016-07-04,953.4,2016-07-04,26.3,30.9,2016-07-04,23.3,2016-07-04,0.0,0.0,0.0,0.0,0.8,61.0,5.8,141.0,2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,955.2,0.0,957.1,2016-07-05,953.6,2016-07-05,25.6,28.7,2016-07-05,22.9,2016-07-05,0.0,0.0,0.0,0.0,0.9,62.0,5.6,80.0,2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,954.0,0.0,955.9,2016-07-06,952.4,2016-07-06,26.0,30.6,2016-07-06,24.1,2016-07-06,0.0,0.0,0.0,0.0,1.2,62.0,8.8,142.0,2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,946.7,0.0,952.4,2016-07-08,940.3,2016-07-07,25.4,29.7,2016-07-07,22.7,2016-07-07,0.0,0.0,0.0,0.0,1.2,77.0,9.3,124.0,2016-07-07,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,934.2,0.0,942.8,2016-07-08,904.7,2016-07-08,23.4,25.6,2016-07-08,21.8,2016-07-08,0.0,0.0,0.0,0.0,3.1,45.0,44.9,263.0,2016-07-08,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,944.4,0.0,947.7,2016-07-09,941.3,2016-07-09,25.3,30.3,2016-07-09,22.8,2016-07-09,0.0,0.0,0.0,0.0,1.0,218.0,9.2,175.0,2016-07-09,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,947.4,0.0,949.4,2016-07-10,946.0,2016-07-10,25.1,29.6,2016-07-10,22.9,2016-07-10,0.0,0.0,0.0,0.0,0.9,244.0,8.5,184.0,2016-07-10,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,949.3,0.0,950.7,2016-07-11,947.8,2016-07-11,25.5,28.9,2016-07-11,23.1,2016-07-11,0.0,0.0,0.0,0.0,0.6,39.0,6.7,213.0,2016-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,950.4,0.0,952.3,2016-07-12,949.3,2016-07-12,26.6,31.3,2016-07-12,23.0,2016-07-12,0.0,0.0,0.0,0.0,1.3,31.0,11.5,181.0,2016-07-12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,951.0,0.0,953.5,2016-07-13,948.9,2016-07-13,28.1,34.9,2016-07-13,23.8,2016-07-13,0.0,0.0,0.0,0.0,1.0,130.0,6.0,184.0,2016-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,951.9,0.0,953.4,2016-07-14,949.8,2016-07-14,27.6,32.1,2016-07-14,23.9,2016-07-14,0.0,0.0,0.0,0.0,0.9,84.0,4.7,113.0,2016-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,951.2,0.0,952.7,2016-07-15,949.0,2016-07-15,27.2,31.1,2016-07-15,24.1,2016-07-15,0.0,0.0,0.0,0.0,0.8,44.0,4.6,88.0,2016-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,952.0,0.0,954.4,2016-07-16,950.9,2016-07-16,27.7,32.2,2016-07-16,24.0,2016-07-16,0.0,0.0,0.0,0.0,0.8,86.0,4.6,86.0,2016-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
