,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,951.4,0.0,954.1,2014-06-01,949.6,2014-06-01 00:00:00,24.9,30.7,2014-06-01,20.9,2014-06-01,0.0,0.0,0.0,0.0,0.7,120.0,8.6,123.0,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,948.4,0.0,950.7,2014-06-02,945.9,2014-06-02 00:00:00,24.8,32.1,2014-06-02,20.1,2014-06-02,0.0,0.0,0.0,0.0,0.4,132.0,6.7,194.0,2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,947.9,0.0,949.3,2014-06-03,946.3,2014-06-03 00:00:00,21.9,24.4,2014-06-03,20.5,2014-06-03,0.0,0.0,0.0,0.0,0.0,131.0,1.5,142.0,2014-06-03,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,947.9,0.0,949.6,2014-06-04,946.0,2014-06-04 00:00:00,23.2,28.4,2014-06-04,20.7,2014-06-04,0.0,0.0,0.0,0.0,0.8,131.0,9.9,135.0,2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,948.3,0.0,949.7,2014-06-05,947.0,2014-06-05 00:00:00,22.6,29.2,2014-06-05,18.3,2014-06-05,0.0,0.0,0.0,0.0,0.4,130.0,8.8,160.0,2014-06-05,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,948.5,0.0,949.9,2014-06-06,947.1,2014-06-06 00:00:00,21.8,26.0,2014-06-06,20.3,2014-06-06,0.0,0.0,0.0,0.0,0.2,124.0,4.2,141.0,2014-06-06,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,947.1,0.0,949.2,2014-06-07,945.0,0.0,23.1,27.2,2014-06-07,20.8,2014-06-07,0.0,0.0,0.0,0.0,0.3,126.0,5.6,120.0,2014-06-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,946.3,0.0,948.5,2014-06-08,944.1,2014-06-08 00:00:00,23.6,30.5,2014-06-08,20.7,2014-06-08,0.0,0.0,0.0,0.0,0.5,132.0,9.1,159.0,2014-06-08,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,945.5,0.0,946.7,2014-06-09,944.3,2014-06-09 00:00:00,23.6,28.8,2014-06-09,20.6,2014-06-09,0.0,0.0,0.0,0.0,0.5,4.0,7.7,136.0,2014-06-09,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,944.3,0.0,945.5,2014-06-10,942.7,2014-06-10 00:00:00,23.9,27.3,2014-06-10,22.5,2014-06-10,0.0,0.0,0.0,0.0,0.6,127.0,6.3,141.0,2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,944.3,0.0,946.2,2014-06-11,942.2,2014-06-11 00:00:00,23.6,25.5,2014-06-11,21.7,2014-06-11,0.0,0.0,0.0,0.0,0.7,123.0,5.8,136.0,2014-06-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,947.1,0.0,949.7,2014-06-12,945.2,2014-06-12 00:00:00,21.3,26.6,2014-06-12,17.9,2014-06-12,0.0,0.0,0.0,0.0,0.3,123.0,5.0,134.0,2014-06-12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,949.3,0.0,950.8,2014-06-13,948.3,2014-06-13 00:00:00,20.5,24.8,2014-06-13,17.0,2014-06-13,0.0,0.0,0.0,0.0,0.3,118.0,6.8,134.0,2014-06-13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,949.8,0.0,950.9,2014-06-14,948.8,2014-06-14 00:00:00,22.2,25.6,2014-06-14,19.9,2014-06-14,0.0,0.0,0.0,0.0,0.0,0.0,1.5,129.0,2014-06-14,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,948.6,0.0,950.4,2014-06-15,947.0,2014-06-15 00:00:00,23.5,26.9,2014-06-15,21.0,2014-06-15,0.0,0.0,0.0,0.0,0.1,130.0,2.7,135.0,2014-06-15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,947.2,0.0,949.1,2014-06-16,945.8,2014-06-16 00:00:00,25.3,29.7,2014-06-16,22.5,2014-06-16,0.0,0.0,0.0,0.0,0.6,129.0,8.7,124.0,2014-06-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,946.6,0.0,948.5,2014-06-17,944.9,2014-06-17 00:00:00,24.1,29.5,2014-06-17,22.0,2014-06-17,0.0,0.0,0.0,0.0,0.1,138.0,1.7,125.0,2014-06-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,948.0,0.0,949.3,2014-06-18,946.4,2014-06-18 00:00:00,24.7,30.7,2014-06-18,20.5,2014-06-18,0.0,0.0,0.0,0.0,0.6,130.0,8.7,126.0,2014-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,947.9,0.0,949.4,2014-06-19,946.2,2014-06-19 00:00:00,25.2,30.3,2014-06-19,21.5,2014-06-19,0.0,0.0,0.0,0.0,0.7,126.0,8.9,130.0,2014-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,948.1,0.0,949.7,2014-06-20,946.7,2014-06-20 00:00:00,25.3,30.6,2014-06-20,21.1,2014-06-20,0.0,0.0,0.0,0.0,0.5,138.0,9.9,135.0,2014-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,948.4,0.0,949.8,2014-06-21,946.7,2014-06-21 00:00:00,26.2,31.1,2014-06-21,22.9,2014-06-21,0.0,0.0,0.0,0.0,0.8,126.0,9.2,126.0,2014-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,948.6,0.0,950.4,2014-06-22,946.8,2014-06-22 00:00:00,26.3,31.7,2014-06-22,22.3,2014-06-22,0.0,0.0,0.0,0.0,0.8,122.0,10.9,139.0,2014-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,948.2,0.0,949.9,2014-06-23,946.1,2014-06-23 00:00:00,25.8,30.9,2014-06-23,23.2,2014-06-23,0.0,0.0,0.0,0.0,0.7,124.0,8.3,126.0,2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,948.4,0.0,950.6,2014-06-24,947.1,2014-06-24 00:00:00,25.7,30.0,2014-06-24,23.5,2014-06-24,0.0,0.0,0.0,0.0,1.0,113.0,8.2,123.0,2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,949.9,0.0,952.3,2014-06-25,948.2,2014-06-25 00:00:00,25.7,30.7,2014-06-25,22.8,2014-06-25,0.0,0.0,0.0,0.0,0.8,130.0,8.7,129.0,2014-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26.0,950.1,0.0,951.9,2014-06-26,948.0,2014-06-26 00:00:00,25.6,31.0,2014-06-26,20.9,2014-06-26,0.0,0.0,0.0,0.0,0.8,126.0,9.0,142.0,2014-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.0,949.4,0.0,950.9,2014-06-27,948.0,2014-06-27 00:00:00,25.9,31.7,2014-06-27,21.5,2014-06-27,0.0,0.0,0.0,0.0,0.7,123.0,12.6,124.0,2014-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,948.4,0.0,950.5,2014-06-28,946.4,2014-06-28 00:00:00,25.9,31.3,2014-06-28,21.6,2014-06-28,0.0,0.0,0.0,0.0,1.0,128.0,9.4,131.0,2014-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,949.6,0.0,952.7,2014-06-29,948.3,2014-06-29 00:00:00,26.0,31.9,2014-06-29,22.2,2014-06-29,0.0,0.0,0.0,0.0,0.9,130.0,9.5,142.0,2014-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,952.3,0.0,954.5,2014-06-30,950.7,2014-06-30 00:00:00,25.1,30.5,2014-06-30,22.9,2014-06-30,0.0,0.0,0.0,0.0,0.5,118.0,9.3,173.0,2014-06-30,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
