,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,992.5,0.0,995.1,2014-06-02,990.9,2014-06-01,26.1,30.6,2014-06-01,22.3,2014-06-01,0.0,0.0,0.0,0.0,1.9,204.0,7.2,23.0,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,988.9,0.0,991.3,2014-06-02,986.8,2014-06-02,26.8,32.7,2014-06-02,22.4,2014-06-02,0.0,0.0,0.0,0.0,1.7,212.0,6.7,51.0,2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,988.3,0.0,990.2,2014-06-03,987.0,2014-06-03,24.6,29.6,2014-06-03,21.3,2014-06-03,0.0,0.0,0.0,0.0,1.3,193.0,5.2,210.0,2014-06-03,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,989.1,0.0,989.4,2014-06-04,987.6,2014-06-04,24.4,25.5,2014-06-04,22.3,2014-06-04,0.0,0.0,0.0,0.0,1.4,38.0,3.4,215.0,2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,987.9,0.0,989.2,2014-06-05,986.5,2014-06-05,25.2,29.6,2014-06-05,21.3,2014-06-05,0.0,0.0,0.0,0.0,1.6,208.0,9.1,223.0,2014-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,988.7,0.0,990.0,2014-06-06,987.3,2014-06-06,23.9,28.5,2014-06-06,21.3,2014-06-06,0.0,0.0,0.0,0.0,1.3,205.0,5.7,41.0,2014-06-06,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,987.0,0.0,989.3,2014-06-08,985.1,2014-06-07,25.1,30.6,2014-06-07,21.3,2014-06-07,0.0,0.0,0.0,0.0,1.1,215.0,5.9,72.0,2014-06-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,986.3,0.0,988.0,2014-06-08,985.0,2014-06-08,25.4,30.6,2014-06-08,22.3,2014-06-08,0.0,0.0,0.0,0.0,1.8,39.0,7.6,44.0,2014-06-08,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,985.4,0.0,986.4,2014-06-09,984.3,2014-06-09,25.1,29.6,2014-06-09,21.3,2014-06-09,0.0,0.0,0.0,0.0,1.6,208.0,7.7,75.0,2014-06-09,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,983.9,0.0,985.2,2014-06-10,982.2,2014-06-10,25.9,31.6,2014-06-10,22.3,2014-06-10,0.0,0.0,0.0,0.0,1.6,212.0,7.2,45.0,2014-06-10,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,985.1,0.0,988.3,2014-06-11,983.0,2014-06-11,24.3,28.6,2014-06-11,22.3,2014-06-11,0.0,0.0,0.0,0.0,2.9,37.0,14.1,57.0,2014-06-11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,988.4,0.0,990.5,2014-06-12,986.8,2014-06-12,24.1,27.5,2014-06-12,21.3,2014-06-12,0.0,0.0,0.0,0.0,1.9,29.0,11.2,43.0,2014-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,990.5,0.0,991.9,2014-06-13,988.8,2014-06-13,22.9,26.5,2014-06-13,20.3,2014-06-13,0.0,0.0,0.0,0.0,1.2,204.0,5.1,308.0,2014-06-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,990.9,0.0,992.0,2014-06-14,989.7,2014-06-14,24.5,29.6,2014-06-14,20.3,2014-06-14,0.0,0.0,0.0,0.0,1.3,206.0,7.0,215.0,2014-06-14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,989.7,0.0,991.3,2014-06-15,987.9,2014-06-15,25.1,28.6,2014-06-15,21.3,2014-06-15,0.0,0.0,0.0,0.0,1.6,200.0,7.8,191.0,2014-06-15,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,988.0,0.0,990.2,2014-06-16,986.0,2014-06-16,27.2,32.7,2014-06-16,22.4,2014-06-16,0.0,0.0,0.0,0.0,1.8,184.0,13.3,177.0,2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,987.0,0.0,988.8,2014-06-17,985.9,2014-06-17,27.4,32.7,2014-06-17,23.4,2014-06-17,0.0,0.0,0.0,0.0,1.9,207.0,8.1,79.0,2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,989.1,0.0,991.0,2014-06-18,987.3,2014-06-18,28.1,33.7,2014-06-18,23.4,2014-06-18,0.0,0.0,0.0,0.0,1.8,49.0,7.5,31.0,2014-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,989.7,0.0,991.2,2014-06-19,988.1,2014-06-19,26.9,31.7,2014-06-19,23.4,2014-06-19,0.0,0.0,0.0,0.0,1.2,24.0,6.5,24.0,2014-06-19,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,989.6,0.0,991.7,2014-06-20,987.6,2014-06-20,27.0,30.6,2014-06-20,24.4,2014-06-20,0.0,0.0,0.0,0.0,2.5,176.0,14.5,209.0,2014-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,989.9,0.0,991.9,2014-06-21,986.8,2014-06-21,27.2,31.7,2014-06-21,23.4,2014-06-21,0.0,0.0,0.0,0.0,2.3,171.0,14.4,202.0,2014-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,990.0,0.0,992.2,2014-06-22,987.6,2014-06-22,28.0,33.7,2014-06-22,23.4,2014-06-22,0.0,0.0,0.0,0.0,1.6,40.0,13.2,158.0,2014-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,989.8,0.0,992.1,2014-06-24,987.3,2014-06-23,27.6,35.8,2014-06-23,23.4,2014-06-23,0.0,0.0,0.0,0.0,1.4,49.0,7.3,192.0,2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,990.5,0.0,992.8,2014-06-24,988.8,2014-06-24,26.7,31.6,2014-06-24,23.4,2014-06-24,0.0,0.0,0.0,0.0,1.4,49.0,6.2,51.0,2014-06-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,991.7,0.0,993.8,2014-06-25,990.0,2014-06-25,26.6,32.7,2014-06-25,23.4,2014-06-25,0.0,0.0,0.0,0.0,1.6,46.0,6.5,50.0,2014-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26.0,991.6,0.0,993.6,2014-06-26,989.4,2014-06-26,27.0,30.6,2014-06-26,23.4,2014-06-26,0.0,0.0,0.0,0.0,1.5,33.0,8.1,50.0,2014-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.0,990.9,0.0,993.0,2014-06-27,988.6,2014-06-27,27.2,30.6,2014-06-27,23.4,2014-06-27,0.0,0.0,0.0,0.0,2.6,180.0,12.7,172.0,2014-06-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,990.0,0.0,992.2,2014-06-28,987.8,2014-06-28,26.8,32.7,2014-06-28,23.4,2014-06-28,0.0,0.0,0.0,0.0,1.7,195.0,12.9,208.0,2014-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,991.1,0.0,994.2,2014-06-29,989.3,2014-06-29,27.3,32.7,2014-06-29,24.4,2014-06-29,0.0,0.0,0.0,0.0,2.1,176.0,11.2,231.0,2014-06-29,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30.0,993.9,0.0,996.1,2014-06-30,992.2,2014-06-30,27.2,31.6,2014-06-30,23.4,2014-06-30,0.0,0.0,0.0,0.0,1.5,214.0,11.3,195.0,2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
