,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1011.8,0.0,1014.0,2015-04-01,1009.2,2015-04-01,25.9,31.6,2015-04-01,22.3,2015-04-01,0.0,0.0,0.0,0.0,0.4,320.0,4.4,94.0,2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1008.1,0.0,1010.5,2015-04-02,1005.9,2015-04-02,25.6,31.7,2015-04-02,20.9,2015-04-02,0.0,0.0,0.0,0.0,0.4,102.0,5.7,151.0,2015-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1007.4,0.0,1009.5,2015-04-03,1005.2,2015-04-03,26.1,32.3,2015-04-03,21.0,2015-04-03,0.0,0.0,0.0,0.0,0.3,33.0,4.5,154.0,2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1010.2,0.0,1012.8,2015-04-04,1007.7,2015-04-04,25.8,30.8,2015-04-04,22.2,2015-04-04,0.0,0.0,0.0,0.0,0.4,7.0,5.2,130.0,2015-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1011.2,0.0,1012.8,2015-04-05,1009.1,2015-04-05,26.6,33.5,2015-04-05,21.5,2015-04-05,0.0,0.0,0.0,0.0,0.3,16.0,5.3,355.0,2015-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1011.4,0.0,1014.1,2015-04-06,1009.7,2015-04-06,26.9,33.7,2015-04-06,22.6,2015-04-06,0.0,0.0,0.0,0.0,0.3,20.0,5.0,1.0,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1017.6,0.0,1022.2,2015-04-07,1013.9,2015-04-07,19.2,24.8,2015-04-08,16.2,2015-04-07,0.0,0.0,0.0,0.0,0.6,32.0,6.0,44.0,2015-04-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1021.4,0.0,1022.4,2015-04-08,1019.8,2015-04-08,16.5,18.0,2015-04-08,14.9,2015-04-08,0.0,0.0,0.0,0.0,0.6,329.0,4.8,333.0,2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1018.7,0.0,1021.4,2015-04-09,1016.6,2015-04-09,17.5,20.7,2015-04-09,14.4,2015-04-09,0.0,0.0,0.0,0.0,0.2,40.0,2.9,39.0,2015-04-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1018.4,0.0,1021.0,2015-04-10,1016.2,2015-04-10,18.3,20.0,2015-04-10,16.9,2015-04-10,0.0,0.0,0.0,0.0,0.3,6.0,4.6,19.0,2015-04-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1019.7,0.0,1021.1,2015-04-11,1018.3,2015-04-11,16.5,17.3,2015-04-11,15.7,2015-04-11,0.0,0.0,0.0,0.0,0.0,0.0,2.4,281.0,2015-04-11,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1016.7,0.0,1019.2,2015-04-12,1015.1,2015-04-12,19.6,24.6,2015-04-12,16.4,2015-04-12,0.0,0.0,0.0,0.0,0.3,114.0,3.9,104.0,2015-04-12,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1017.1,0.0,1019.1,2015-04-13,1015.5,2015-04-13,18.3,22.2,2015-04-13,14.7,2015-04-13,0.0,0.0,0.0,0.0,0.2,25.0,5.9,36.0,2015-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1015.8,0.0,1017.6,2015-04-14,1013.4,2015-04-14,18.7,25.4,2015-04-14,12.4,2015-04-14,0.0,0.0,0.0,0.0,0.6,159.0,7.3,130.0,2015-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1015.7,0.0,1017.7,2015-04-15,1014.2,2015-04-15,20.1,27.4,2015-04-15,18.4,2015-04-15,0.0,0.0,0.0,0.0,0.4,127.0,8.5,161.0,2015-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,1015.0,0.0,1016.6,2015-04-16,1013.3,2015-04-16,22.9,29.8,2015-04-16,16.2,2015-04-16,0.0,0.0,0.0,0.0,0.3,30.0,4.4,118.0,2015-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,1013.8,0.0,1015.3,2015-04-17,1011.8,2015-04-17,24.4,29.9,2015-04-17,18.4,2015-04-17,0.0,0.0,0.0,0.0,0.3,46.0,5.1,105.0,2015-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,1011.1,0.0,1013.6,2015-04-18,1008.5,2015-04-18,25.7,31.1,2015-04-18,21.9,2015-04-18,0.0,0.0,0.0,0.0,0.6,329.0,6.1,135.0,2015-04-18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1007.6,0.0,1010.5,2015-04-19,1005.4,2015-04-19,25.5,29.8,2015-04-19,22.8,2015-04-19,0.0,0.0,0.0,0.0,0.2,21.0,3.2,344.0,2015-04-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,1007.9,0.0,1015.1,2015-04-20,1003.2,2015-04-20,23.9,30.2,2015-04-20,18.9,2015-04-20,0.0,0.0,0.0,0.0,0.6,96.0,6.7,157.0,2015-04-20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,1016.0,0.0,1018.4,2015-04-21,1013.3,2015-04-21,18.3,19.5,2015-04-21,17.6,2015-04-21,0.0,0.0,0.0,0.0,0.2,16.0,4.2,131.0,2015-04-21,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,1020.0,0.0,1022.6,2015-04-22,1017.1,2015-04-22,18.9,20.6,2015-04-22,17.8,2015-04-22,0.0,0.0,0.0,0.0,0.1,141.0,2.5,161.0,2015-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
