,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1018.3,0.0,1020.2,2015-01-01,1016.0,2015-01-01,18.2,22.7,2015-01-01,15.3,2015-01-01,0.0,60.0,48.0,2015-01-01,1.6,310.0,6.4,326.0,2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1019.2,0.0,1021.2,2015-01-02,1017.0,2015-01-02,17.5,21.0,2015-01-02,13.8,2015-01-02,0.0,58.0,47.0,2015-01-02,1.3,31.0,4.8,225.0,2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1017.2,0.0,1019.5,2015-01-03,1015.0,2015-01-03,18.3,21.7,2015-01-03,15.0,2015-01-03,0.0,62.0,44.0,2015-01-03,1.5,359.0,6.6,325.0,2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1012.8,0.0,1015.3,2015-01-04,1010.6,2015-01-04,20.5,26.2,2015-01-04,16.5,2015-01-04,0.0,56.0,36.0,2015-01-04,1.6,7.0,6.2,320.0,2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1010.6,0.0,1012.6,2015-01-05,1008.5,2015-01-05,22.1,27.6,2015-01-05,17.5,2015-01-05,0.0,56.0,36.0,2015-01-05,0.9,3.0,4.6,226.0,2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1009.8,0.0,1011.3,2015-01-06,1008.0,2015-01-06,23.5,28.5,2015-01-06,19.6,2015-01-06,0.0,60.0,42.0,2015-01-06,1.2,293.0,5.1,337.0,2015-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1013.3,0.0,1016.8,2015-01-07,1010.5,2015-01-07,20.1,23.3,2015-01-07,15.9,2015-01-07,0.0,71.0,60.0,2015-01-07,2.6,338.0,7.7,337.0,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1018.3,0.0,1020.0,2015-01-08,1016.6,2015-01-08,17.1,20.1,2015-01-08,14.6,2015-01-08,0.0,62.0,53.0,2015-01-08,2.0,309.0,7.3,318.0,2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1018.6,0.0,1020.3,2015-01-09,1016.6,2015-01-09,18.8,22.2,2015-01-09,16.5,2015-01-09,0.0,59.0,46.0,2015-01-09,1.4,277.0,5.6,346.0,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1018.0,0.0,1020.0,2015-01-10,1015.8,2015-01-10,18.7,22.3,2015-01-10,16.1,2015-01-10,0.0,59.0,41.0,2015-01-10,1.9,24.0,7.0,325.0,2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1016.7,0.0,1018.6,2015-01-11,1014.7,2015-01-11,19.8,23.9,2015-01-11,15.7,2015-01-11,0.0,59.0,42.0,2015-01-11,1.4,21.0,6.4,318.0,2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1015.5,0.0,1017.5,2015-01-12,1013.2,2015-01-12,20.9,24.6,2015-01-12,18.2,2015-01-12,0.0,63.0,47.0,2015-01-12,1.0,321.0,6.3,284.0,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1012.8,0.0,1014.5,2015-01-13,1010.0,2015-01-13,20.1,23.9,2015-01-13,16.6,2015-01-13,0.0,70.0,59.0,2015-01-13,1.9,327.0,11.8,15.0,2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1013.4,0.0,1015.5,2015-01-14,1010.7,2015-01-14,18.8,21.6,2015-01-14,16.4,2015-01-14,0.0,71.0,60.0,2015-01-14,3.5,358.0,13.9,309.0,2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1015.8,0.0,1017.6,2015-01-15,1014.1,2015-01-15,18.6,23.2,2015-01-15,14.9,2015-01-15,0.0,67.0,51.0,2015-01-15,1.8,224.0,6.2,318.0,2015-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,1016.6,0.0,1018.7,2015-01-16,1014.2,2015-01-16,18.6,23.0,2015-01-16,16.0,2015-01-16,0.0,66.0,32.0,2015-01-16,2.5,334.0,8.0,10.0,2015-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,1017.5,0.0,1019.3,2015-01-17,1015.5,2015-01-17,18.0,22.8,2015-01-17,14.3,2015-01-17,0.0,67.0,44.0,2015-01-17,1.6,319.0,6.2,334.0,2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,1017.0,0.0,1019.8,2015-01-18,1014.5,2015-01-18,17.6,20.9,2015-01-18,14.9,2015-01-18,0.0,62.0,46.0,2015-01-18,1.8,297.0,7.5,339.0,2015-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1015.3,0.0,1016.5,2015-01-19,1013.6,2015-01-19,17.9,20.7,2015-01-19,15.5,2015-01-19,0.0,70.0,52.0,2015-01-19,1.3,339.0,6.5,325.0,2015-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,1014.9,0.0,1016.8,2015-01-20,1012.5,2015-01-20,19.8,23.6,2015-01-20,17.6,2015-01-20,0.0,70.0,57.0,2015-01-20,1.2,310.0,5.6,329.0,2015-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,1013.7,0.0,1015.6,2015-01-21,1011.0,2015-01-21,19.5,23.0,2015-01-21,17.7,2015-01-21,0.0,71.0,53.0,2015-01-21,2.7,334.0,10.7,5.0,2015-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,1015.3,0.0,1017.3,2015-01-22,1013.5,2015-01-22,18.6,23.5,2015-01-22,15.6,2015-01-22,0.0,50.0,26.0,2015-01-22,2.7,343.0,11.1,5.0,2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
