,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,1008.8,0.0,1010.8,2016-05-01 00:00:00,1006.8,2016-05-01 00:00:00,23.7,25.5,2016-05-01 00:00:00,21.4,2016-05-01 00:00:00,0.0,85.0,76.0,2016-05-01 00:00:00,1.9,25.0,8.0,30.0,2016-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1007.7,0.0,1009.5,2016-05-02 00:00:00,1006.2,2016-05-02 00:00:00,27.0,31.0,2016-05-02 00:00:00,22.9,2016-05-02 00:00:00,0.0,83.0,60.0,2016-05-02 00:00:00,1.6,172.0,8.1,179.0,2016-05-02 00:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1007.8,0.0,1009.6,2016-05-03 00:00:00,1006.3,2016-05-03 00:00:00,27.5,32.0,2016-05-03 00:00:00,23.7,2016-05-03 00:00:00,0.0,80.0,53.0,2016-05-03 00:00:00,1.6,267.0,9.4,281.0,2016-05-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1008.6,0.0,1009.7,2016-05-04 00:00:00,1007.1,2016-05-04 00:00:00,27.8,31.6,2016-05-04 00:00:00,24.7,2016-05-04 00:00:00,0.0,80.0,58.0,2016-05-04 00:00:00,1.4,296.0,8.6,279.0,2016-05-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1008.0,0.0,1009.7,2016-05-05 00:00:00,1005.9,2016-05-05 00:00:00,28.8,33.5,2016-05-05 00:00:00,25.3,2016-05-05 00:00:00,0.0,76.0,50.0,2016-05-05 00:00:00,1.9,137.0,9.8,222.0,2016-05-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1007.0,0.0,1008.9,2016-05-06 00:00:00,1004.8,2016-05-06 00:00:00,29.1,33.8,2016-05-06 00:00:00,25.6,2016-05-06 00:00:00,0.0,77.0,55.0,2016-05-06 00:00:00,2.0,159.0,8.0,267.0,2016-05-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1008.0,0.0,1009.7,2016-05-07 00:00:00,1006.7,2016-05-07 00:00:00,28.8,32.8,2016-05-07 00:00:00,25.5,2016-05-07 00:00:00,0.0,78.0,52.0,2016-05-07 00:00:00,1.5,277.0,7.6,273.0,2016-05-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1008.6,0.0,1010.1,2016-05-08 00:00:00,1006.8,2016-05-08 00:00:00,28.7,33.1,2016-05-08 00:00:00,25.8,2016-05-08 00:00:00,0.0,79.0,61.0,2016-05-08 00:00:00,1.1,6.0,8.4,292.0,2016-05-08 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1007.1,0.0,1009.4,2016-05-10 00:00:00,1004.7,2016-05-09 00:00:00,29.4,34.8,2016-05-09 00:00:00,25.4,2016-05-09 00:00:00,0.0,76.0,43.0,2016-05-09 00:00:00,2.3,134.0,11.8,203.0,2016-05-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1005.3,0.0,1006.5,2016-05-10 00:00:00,1004.0,2016-05-10 00:00:00,28.5,33.2,2016-05-10 00:00:00,24.1,2016-05-10 00:00:00,0.0,77.0,47.0,2016-05-10 00:00:00,2.5,225.0,9.3,170.0,2016-05-10 00:00:00,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
