,觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1.0,993.7,0.0,995.5,2016-07-01,991.4,2016-07-01,28.2,34.3,2016-07-01,23.3,2016-07-01,0.0,0.0,0.0,0.0,0.5,117.0,5.3,353.0,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,993.4,0.0,995.0,2016-07-02,991.0,2016-07-02,28.9,34.5,2016-07-02,23.9,2016-07-02,0.0,0.0,0.0,0.0,0.5,123.0,5.0,119.0,2016-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,993.4,0.0,994.9,2016-07-03,991.1,2016-07-03,28.9,33.8,2016-07-03,23.9,2016-07-03,0.0,0.0,0.0,0.0,0.6,115.0,8.3,165.0,2016-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,992.9,0.0,994.5,2016-07-04,990.4,2016-07-04,28.8,34.6,2016-07-04,23.8,2016-07-04,0.0,0.0,0.0,0.0,0.6,113.0,5.0,122.0,2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,993.4,0.0,995.1,2016-07-05,991.9,2016-07-05,28.2,33.9,2016-07-05,23.4,2016-07-05,0.0,0.0,0.0,0.0,0.5,119.0,7.8,91.0,2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,992.2,0.0,994.6,2016-07-06,990.3,2016-07-06,28.9,34.6,2016-07-06,24.7,2016-07-06,0.0,0.0,0.0,0.0,0.3,116.0,7.3,345.0,2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,985.8,0.0,991.3,2016-07-07,980.9,2016-07-07,26.9,30.7,2016-07-07,23.8,2016-07-07,0.0,0.0,0.0,0.0,1.0,337.0,14.3,327.0,2016-07-07,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,978.6,0.0,982.1,2016-07-08,976.3,2016-07-08,24.8,26.7,2016-07-08,23.9,2016-07-08,0.0,0.0,0.0,0.0,1.2,340.0,21.8,103.0,2016-07-08,445.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,981.9,0.0,984.7,2016-07-09,979.9,2016-07-09,27.1,31.4,2016-07-09,24.2,2016-07-09,0.0,0.0,0.0,0.0,0.3,168.0,7.8,156.0,2016-07-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,984.9,0.0,987.1,2016-07-10,983.2,2016-07-10,27.7,32.7,2016-07-10,24.7,2016-07-10,0.0,0.0,0.0,0.0,0.6,156.0,7.0,180.0,2016-07-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,986.9,0.0,988.6,2016-07-11,985.2,2016-07-11,27.9,32.4,2016-07-11,25.6,2016-07-11,0.0,0.0,0.0,0.0,0.7,156.0,6.6,197.0,2016-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,988.1,0.0,990.0,2016-07-12,986.5,2016-07-12,28.1,32.5,2016-07-12,24.8,2016-07-12,0.0,0.0,0.0,0.0,0.5,175.0,7.7,199.0,2016-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,989.3,0.0,991.7,2016-07-13,987.2,2016-07-13,28.3,35.2,2016-07-13,23.3,2016-07-13,0.0,0.0,0.0,0.0,0.8,105.0,8.4,347.0,2016-07-13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,990.0,0.0,991.4,2016-07-14,988.0,2016-07-14,28.6,34.9,2016-07-14,24.0,2016-07-14,0.0,0.0,0.0,0.0,0.8,321.0,6.6,307.0,2016-07-14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,989.0,0.0,990.6,2016-07-15,986.0,2016-07-15,29.3,35.9,2016-07-15,24.2,2016-07-15,0.0,0.0,0.0,0.0,0.7,122.0,7.3,323.0,2016-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,989.8,0.0,992.4,2016-07-16,988.2,2016-07-16,29.4,35.8,2016-07-16,24.7,2016-07-16,0.0,0.0,0.0,0.0,0.9,328.0,8.2,326.0,2016-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,991.7,0.0,993.3,2016-07-17,990.0,2016-07-17,28.2,34.5,2016-07-17,24.0,2016-07-17,0.0,0.0,0.0,0.0,0.4,69.0,4.7,65.0,2016-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,991.5,0.0,993.6,2016-07-18,989.5,2016-07-18,26.7,33.5,2016-07-18,22.7,2016-07-18,0.0,0.0,0.0,0.0,0.3,84.0,5.2,7.0,2016-07-18,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,992.4,0.0,995.2,2016-07-19,989.7,2016-07-19,27.3,33.7,2016-07-19,23.7,2016-07-19,0.0,0.0,0.0,0.0,0.4,95.0,4.8,131.0,2016-07-19,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,993.6,0.0,995.4,2016-07-20,992.2,2016-07-20,28.1,33.0,2016-07-20,23.6,2016-07-20,0.0,0.0,0.0,0.0,0.6,113.0,5.3,97.0,2016-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,994.1,0.0,995.5,2016-07-21,992.0,2016-07-21,28.1,34.8,2016-07-21,24.1,2016-07-21,0.0,0.0,0.0,0.0,0.4,118.0,4.1,71.0,2016-07-21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,992.8,0.0,994.4,2016-07-22,990.9,2016-07-22,28.4,35.6,2016-07-22,23.7,2016-07-22,0.0,0.0,0.0,0.0,0.4,120.0,6.4,127.0,2016-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,992.0,0.0,993.7,2016-07-23,990.2,2016-07-23,28.2,34.5,2016-07-23,22.9,2016-07-23,0.0,0.0,0.0,0.0,0.5,95.0,5.1,158.0,2016-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,992.2,0.0,993.8,2016-07-24,990.3,2016-07-24,28.1,34.4,2016-07-24,23.3,2016-07-24,0.0,0.0,0.0,0.0,0.5,12.0,4.9,115.0,2016-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,992.4,0.0,993.9,2016-07-25,990.3,2016-07-25,28.0,35.4,2016-07-25,22.8,2016-07-25,0.0,0.0,0.0,0.0,0.7,132.0,6.5,123.0,2016-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26.0,991.6,0.0,993.1,2016-07-26,989.8,2016-07-26,27.3,35.0,2016-07-26,23.0,2016-07-26,0.0,0.0,0.0,0.0,0.6,106.0,6.5,162.0,2016-07-26,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.0,991.5,0.0,993.1,2016-07-27,989.5,2016-07-27,27.3,34.1,2016-07-27,23.5,2016-07-27,0.0,0.0,0.0,0.0,0.4,124.0,5.8,75.0,2016-07-27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28.0,991.2,0.0,993.0,2016-07-28,989.6,2016-07-28,28.8,35.4,2016-07-28,23.2,2016-07-28,0.0,0.0,0.0,0.0,0.5,115.0,4.4,107.0,2016-07-28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
