,上價,下價,中價,交易日期,交易量,作物代號,作物名稱,市場代號,市場名稱,平均價,Weekday
0,27.0,16.3,22.0,102.01.01,52799.0,LA1,甘藍-初秋,104,台北二,21.9,1
1,32.7,18.9,25.6,102.01.01,131212.0,LA1,甘藍-初秋,109,台北一,25.7,1
2,28.3,19.5,23.6,102.01.01,9332.0,LA1,甘藍-初秋,241,三重市,23.7,1
3,30.0,16.0,24.0,102.01.01,645.0,LA1,甘藍-初秋,338,桃園縣,24.0,1
4,27.9,14.0,21.1,102.01.01,13431.0,LA1,甘藍-初秋,400,台中市,17.8,1
5,20.0,12.0,14.0,102.01.01,3200.0,LA1,甘藍-初秋,512,永靖鄉,13.8,1
6,26.0,17.0,22.0,102.01.01,14710.0,LA1,甘藍-初秋,514,溪湖鎮,22.0,1
7,30.0,7.0,19.0,102.01.01,2684.0,LA1,甘藍-初秋,540,南投市,18.18,1
8,27.9,14.0,20.9,102.01.01,153850.0,LA1,甘藍-初秋,648,西螺鎮,20.9,1
9,27.0,15.2,20.7,102.01.01,27182.0,LA1,甘藍-初秋,800,高雄市,20.8,1
10,17.3,7.3,11.5,102.01.01,9990.0,LA1,甘藍-初秋,830,鳳山市,11.81,1
11,18.7,8.6,14.0,102.01.01,13298.0,LA1,甘藍-初秋,900,屏東市,13.8,1
12,21.7,13.3,18.4,102.01.01,18122.0,LA1,甘藍-初秋,950,花蓮市,18.0,1
0,33.3,21.6,27.6,102.01.02,45782.0,LA1,甘藍-初秋,104,台北二,27.5,2
1,28.5,17.8,23.5,102.01.02,144099.0,LA1,甘藍-初秋,109,台北一,23.3,2
2,33.3,20.2,26.2,102.01.02,8308.0,LA1,甘藍-初秋,241,三重市,26.4,2
3,30.0,21.5,25.7,102.01.02,2718.0,LA1,甘藍-初秋,338,桃園縣,25.7,2
4,33.7,10.8,25.6,102.01.02,5973.0,LA1,甘藍-初秋,400,台中市,24.5,2
5,27.0,10.0,14.3,102.01.02,22502.0,LA1,甘藍-初秋,512,永靖鄉,14.5,2
6,30.0,20.0,25.0,102.01.02,12780.0,LA1,甘藍-初秋,514,溪湖鎮,25.0,2
7,33.0,7.0,21.0,102.01.02,2272.0,LA1,甘藍-初秋,540,南投市,20.32,2
8,27.5,13.6,20.5,102.01.02,161680.0,LA1,甘藍-初秋,648,西螺鎮,20.5,2
9,32.3,22.6,26.5,102.01.02,19690.0,LA1,甘藍-初秋,800,高雄市,26.9,2
10,18.2,6.9,11.0,102.01.02,18260.0,LA1,甘藍-初秋,830,鳳山市,11.61,2
11,19.9,10.7,16.7,102.01.02,7880.0,LA1,甘藍-初秋,900,屏東市,16.2,2
12,18.4,12.4,15.9,102.01.02,12284.5,LA1,甘藍-初秋,950,花蓮市,15.7,2
0,33.5,20.3,27.8,102.01.03,51557.0,LA1,甘藍-初秋,104,台北二,27.4,3
1,34.6,21.6,28.1,102.01.03,107419.0,LA1,甘藍-初秋,109,台北一,28.1,3
2,34.4,14.8,27.1,102.01.03,7342.0,LA1,甘藍-初秋,241,三重市,26.1,3
3,32.8,23.8,28.2,102.01.03,3420.0,LA1,甘藍-初秋,338,桃園縣,28.2,3
4,34.3,23.5,30.2,102.01.03,7560.0,LA1,甘藍-初秋,400,台中市,29.1,3
5,30.0,12.0,17.0,102.01.03,21600.0,LA1,甘藍-初秋,512,永靖鄉,17.0,3
6,33.3,20.0,27.0,102.01.03,12745.0,LA1,甘藍-初秋,514,溪湖鎮,27.0,3
7,36.0,6.0,20.0,102.01.03,3114.0,LA1,甘藍-初秋,540,南投市,19.09,3
8,27.4,13.6,20.5,102.01.03,154830.0,LA1,甘藍-初秋,648,西螺鎮,20.5,3
9,35.1,24.6,28.4,102.01.03,17946.0,LA1,甘藍-初秋,800,高雄市,29.0,3
10,19.5,10.0,13.8,102.01.03,15770.0,LA1,甘藍-初秋,830,鳳山市,14.2,3
11,21.5,13.9,19.0,102.01.03,6973.0,LA1,甘藍-初秋,900,屏東市,18.5,3
12,20.0,12.2,15.4,102.01.03,11388.5,LA1,甘藍-初秋,950,花蓮市,15.7,3
0,33.5,22.8,28.4,102.01.04,50107.0,LA1,甘藍-初秋,104,台北二,28.3,4
1,33.4,22.3,28.1,102.01.04,130313.0,LA1,甘藍-初秋,109,台北一,28.0,4
2,30.4,18.7,28.0,102.01.04,10826.0,LA1,甘藍-初秋,241,三重市,26.6,4
3,32.0,24.0,28.8,102.01.04,2070.0,LA1,甘藍-初秋,338,桃園縣,28.8,4
4,32.7,21.8,28.7,102.01.04,9878.0,LA1,甘藍-初秋,400,台中市,27.4,4
5,30.0,15.0,17.5,102.01.04,20600.0,LA1,甘藍-初秋,512,永靖鄉,17.5,4
6,30.0,20.0,27.5,102.01.04,10680.0,LA1,甘藍-初秋,514,溪湖鎮,27.5,4
7,26.0,10.0,22.0,102.01.04,1777.0,LA1,甘藍-初秋,540,南投市,21.53,4
8,26.8,12.9,19.7,102.01.04,160390.0,LA1,甘藍-初秋,648,西螺鎮,19.8,4
9,34.6,22.8,28.3,102.01.04,21929.0,LA1,甘藍-初秋,800,高雄市,28.4,4
10,22.1,13.0,18.2,102.01.04,14120.0,LA1,甘藍-初秋,830,鳳山市,17.93,4
11,23.6,16.8,20.3,102.01.04,8534.0,LA1,甘藍-初秋,900,屏東市,20.2,4
12,18.2,9.9,13.5,102.01.04,11606.0,LA1,甘藍-初秋,950,花蓮市,13.7,4
0,30.8,19.0,25.2,102.01.05,57095.0,LA1,甘藍-初秋,104,台北二,25.1,5
1,32.5,20.5,26.4,102.01.05,189263.0,LA1,甘藍-初秋,109,台北一,26.4,5
2,30.0,19.6,25.0,102.01.05,14075.0,LA1,甘藍-初秋,241,三重市,24.9,5
3,25.9,21.0,23.9,102.01.05,6740.0,LA1,甘藍-初秋,338,桃園縣,23.9,5
4,30.3,17.2,24.1,102.01.05,24955.0,LA1,甘藍-初秋,400,台中市,22.5,5
5,30.0,12.0,17.5,102.01.05,19039.0,LA1,甘藍-初秋,512,永靖鄉,17.5,5
6,29.0,20.0,26.0,102.01.05,17820.0,LA1,甘藍-初秋,514,溪湖鎮,26.0,5
7,38.0,11.0,22.0,102.01.05,2568.0,LA1,甘藍-初秋,540,南投市,21.89,5
8,26.8,12.9,19.8,102.01.05,165530.0,LA1,甘藍-初秋,648,西螺鎮,19.8,5
9,33.7,20.5,26.6,102.01.05,21377.0,LA1,甘藍-初秋,800,高雄市,26.8,5
10,23.7,16.0,19.5,102.01.05,12630.0,LA1,甘藍-初秋,830,鳳山市,19.6,5
11,24.4,16.0,21.3,102.01.05,7364.0,LA1,甘藍-初秋,900,屏東市,20.9,5
12,21.6,10.9,17.1,102.01.05,13738.0,LA1,甘藍-初秋,950,花蓮市,16.7,5
0,32.0,20.9,28.0,102.01.06,74414.0,LA1,甘藍-初秋,104,台北二,27.4,6
1,30.7,19.8,25.5,102.01.06,188498.0,LA1,甘藍-初秋,109,台北一,25.4,6
2,23.4,14.9,20.8,102.01.06,23751.0,LA1,甘藍-初秋,241,三重市,20.1,6
3,21.9,15.8,19.1,102.01.06,7479.0,LA1,甘藍-初秋,338,桃園縣,19.1,6
4,28.9,15.6,22.4,102.01.06,18856.0,LA1,甘藍-初秋,400,台中市,22.8,6
5,26.6,18.0,24.0,102.01.06,16120.0,LA1,甘藍-初秋,514,溪湖鎮,24.0,6
6,25.0,10.0,18.0,102.01.06,3494.0,LA1,甘藍-初秋,540,南投市,17.74,6
7,27.1,13.2,20.1,102.01.06,19590.0,LA1,甘藍-初秋,648,西螺鎮,20.1,6
8,34.1,22.4,26.4,102.01.06,22151.0,LA1,甘藍-初秋,800,高雄市,27.2,6
9,24.3,16.0,20.0,102.01.06,12640.0,LA1,甘藍-初秋,830,鳳山市,20.08,6
10,23.8,18.5,21.6,102.01.06,6626.0,LA1,甘藍-初秋,900,屏東市,21.4,6
0,27.0,10.0,15.5,102.01.07,21790.0,LA1,甘藍-初秋,512,永靖鄉,15.3,0
1,26.6,18.0,24.0,102.01.07,13670.0,LA1,甘藍-初秋,514,溪湖鎮,24.0,0
2,26.8,12.9,19.8,102.01.07,170720.0,LA1,甘藍-初秋,648,西螺鎮,19.8,0
3,25.5,14.7,21.6,102.01.07,9728.0,LA1,甘藍-初秋,950,花蓮市,21.0,0
0,28.0,17.6,23.9,102.01.08,85606.0,LA1,甘藍-初秋,104,台北二,23.5,1
1,29.7,18.3,23.7,102.01.08,206329.0,LA1,甘藍-初秋,109,台北一,23.8,1
2,25.4,19.2,22.6,102.01.08,13098.0,LA1,甘藍-初秋,241,三重市,22.5,1
3,27.0,22.3,25.5,102.01.08,2445.0,LA1,甘藍-初秋,338,桃園縣,25.5,1
4,27.6,14.5,21.4,102.01.08,19618.0,LA1,甘藍-初秋,400,台中市,20.9,1
5,27.0,10.0,15.5,102.01.08,24810.0,LA1,甘藍-初秋,512,永靖鄉,15.4,1
6,26.6,18.0,24.0,102.01.08,17220.0,LA1,甘藍-初秋,514,溪湖鎮,24.0,1
7,36.0,5.0,22.0,102.01.08,2339.0,LA1,甘藍-初秋,540,南投市,21.55,1
8,25.8,13.2,19.1,102.01.08,170760.0,LA1,甘藍-初秋,648,西螺鎮,19.3,1
9,32.6,21.0,24.7,102.01.08,26116.0,LA1,甘藍-初秋,800,高雄市,25.6,1
10,24.6,18.0,20.8,102.01.08,12953.0,LA1,甘藍-初秋,830,鳳山市,21.0,1
11,22.9,15.4,20.1,102.01.08,9201.0,LA1,甘藍-初秋,900,屏東市,19.7,1
12,28.7,17.6,24.6,102.01.08,10772.5,LA1,甘藍-初秋,950,花蓮市,24.1,1
0,26.4,17.0,22.5,102.01.09,67754.0,LA1,甘藍-初秋,104,台北二,22.2,2
1,24.2,13.3,18.5,102.01.09,187029.0,LA1,甘藍-初秋,109,台北一,18.6,2
2,25.1,9.9,18.5,102.01.09,14883.0,LA1,甘藍-初秋,241,三重市,18.1,2
3,26.6,16.4,21.8,102.01.09,5806.0,LA1,甘藍-初秋,338,桃園縣,21.8,2
4,28.8,12.6,20.8,102.01.09,20299.0,LA1,甘藍-初秋,400,台中市,18.9,2
5,25.0,13.0,15.6,102.01.09,25500.0,LA1,甘藍-初秋,512,永靖鄉,15.6,2
6,26.7,18.0,24.0,102.01.09,22320.0,LA1,甘藍-初秋,514,溪湖鎮,24.0,2
7,33.0,7.5,19.0,102.01.09,3236.0,LA1,甘藍-初秋,540,南投市,18.73,2
8,25.8,13.2,20.1,102.01.09,177820.0,LA1,甘藍-初秋,648,西螺鎮,19.9,2
9,28.7,19.2,23.3,102.01.09,24082.0,LA1,甘藍-初秋,800,高雄市,23.6,2
10,22.5,15.0,18.9,102.01.09,11960.0,LA1,甘藍-初秋,830,鳳山市,18.81,2
11,26.7,16.9,23.6,102.01.09,5635.0,LA1,甘藍-初秋,900,屏東市,22.9,2
12,28.7,18.5,23.7,102.01.09,9173.0,LA1,甘藍-初秋,950,花蓮市,23.6,2
0,25.6,15.6,21.1,102.01.10,61325.0,LA1,甘藍-初秋,104,台北二,20.9,3
1,26.2,16.9,22.3,102.01.10,122874.0,LA1,甘藍-初秋,109,台北一,22.0,3
2,27.0,14.2,19.8,102.01.10,16925.0,LA1,甘藍-初秋,241,三重市,20.1,3
3,21.7,10.0,16.5,102.01.10,3070.0,LA1,甘藍-初秋,338,桃園縣,16.5,3
4,27.5,15.6,20.5,102.01.10,13751.0,LA1,甘藍-初秋,400,台中市,21.3,3
